Date,Status,Action,Message,Connection,Details
"2025-11-19 14:23:59",INFO,hub_notified,"Successfully notified hub of completion",-,"{""hub_url"":""https:\/\/hub2a.wpenginepowered.com"",""job_id"":""gei4BivotqXDZ9GJvT1CEBdp8hfMkNNl"",""spoke_post_id"":true}"
"2025-11-19 14:23:58",SUCCESS,set_featured_image,"Featured image set successfully",-,"{""attachment_id"":47176,""post_id"":47172}"
"2025-11-19 14:23:58",SUCCESS,async_update,"Async update completed for ""Test 2"" (30.71s)",-,"{""hub_id"":46662,""local_id"":true,""processing_time"":30.70867609977722,""job_id"":""gei4BivotqXDZ9GJvT1CEBdp8hfMkNNl""}"
"2025-11-19 14:23:28",INFO,job_processing,"Job processing started: ""Test 2""",-,"{""job_id"":""gei4BivotqXDZ9GJvT1CEBdp8hfMkNNl"",""action"":""update"",""hub_id"":46662}"
"2025-11-19 14:23:28",INFO,find_author,"Found matching author by email: mike@manovermachine.com",-,"{""matched_user_id"":38,""display_name"":""manovermachine""}"
"2025-11-19 14:23:23",INFO,job_queued,"Update job queued for processing: ""Test 2""",-,"{""job_id"":""gei4BivotqXDZ9GJvT1CEBdp8hfMkNNl"",""hub_id"":46662,""hub_url"":""https:\/\/hub2a.wpenginepowered.com"",""action"":""update""}"
"2025-11-19 14:23:22",INFO,hub_notified,"Successfully notified hub of completion",-,"{""hub_url"":""https:\/\/hub2a.wpenginepowered.com"",""job_id"":""1NUqPwF59FM0cZMYR7U0xgq1DlqRy6HW"",""spoke_post_id"":true}"
"2025-11-19 14:23:21",SUCCESS,set_featured_image,"Featured image set successfully",-,"{""attachment_id"":47175,""post_id"":47172}"
"2025-11-19 14:23:21",INFO,yoast_update,"Updated Yoast SEO meta fields: _yoast_wpseo_metadesc, _yoast_wpseo_focuskw",-,"{""fields"":[""_yoast_wpseo_metadesc"",""_yoast_wpseo_focuskw""]}"
"2025-11-19 14:23:21",SUCCESS,async_update,"Async update completed for ""Test 2"" (1.41s)",-,"{""hub_id"":46662,""local_id"":true,""processing_time"":1.4113821983337402,""job_id"":""1NUqPwF59FM0cZMYR7U0xgq1DlqRy6HW""}"
"2025-11-19 14:23:20",INFO,job_queued,"Update job queued for processing: ""Test 2""",-,"{""job_id"":""1NUqPwF59FM0cZMYR7U0xgq1DlqRy6HW"",""hub_id"":46662,""hub_url"":""https:\/\/hub2a.wpenginepowered.com"",""action"":""update""}"
"2025-11-19 14:23:20",INFO,job_processing,"Job processing started: ""Test 2""",-,"{""job_id"":""1NUqPwF59FM0cZMYR7U0xgq1DlqRy6HW"",""action"":""update"",""hub_id"":46662}"
"2025-11-19 14:23:20",INFO,find_author,"Found matching author by email: mike@manovermachine.com",-,"{""matched_user_id"":38,""display_name"":""manovermachine""}"
"2025-11-19 14:23:03",INFO,job_queued,"Update job queued for processing: ""Test 2""",-,"{""job_id"":""vHxXD5DeZ0eTXEGKs1emwM9Ta8RL5LIa"",""hub_id"":46662,""hub_url"":""https:\/\/hub2a.wpenginepowered.com"",""action"":""update""}"
"2025-11-19 14:23:03",SUCCESS,yoast_sync,"Post published after Yoast meta set",-,"{""post_id"":47172,""status"":""publish""}"
"2025-11-19 14:23:03",SUCCESS,async_create,"Async create completed for ""Test 2"" (3.80s)",-,"{""hub_id"":46662,""local_id"":47172,""processing_time"":3.7970101833343506,""job_id"":""IGOp5CjRQTOhVkbUymUExnF0j7VdnP4z""}"
"2025-11-19 14:23:03",INFO,hub_notified,"Successfully notified hub of completion",-,"{""hub_url"":""https:\/\/hub2a.wpenginepowered.com"",""job_id"":""IGOp5CjRQTOhVkbUymUExnF0j7VdnP4z"",""spoke_post_id"":47172}"
"2025-11-19 14:23:01",SUCCESS,set_featured_image,"Featured image set successfully",-,"{""attachment_id"":47174,""post_id"":47172}"
"2025-11-19 14:23:01",SUCCESS,yoast_sync,"Post updated with Yoast meta as draft",-,"{""post_id"":47172}"
"2025-11-19 14:23:00",SUCCESS,set_featured_image,"Featured image set successfully",-,"{""attachment_id"":47173,""post_id"":47172}"
"2025-11-19 14:23:00",INFO,gallery_sync,"No gallery_images found in syndication data",-,[]
"2025-11-19 14:23:00",INFO,yoast_sync,"Post created as draft, now updating with Yoast meta",-,"{""post_id"":47172,""intended_status"":""publish""}"
"2025-11-19 14:23:00",INFO,find_author,"Found matching author by email: mike@manovermachine.com",-,"{""matched_user_id"":38,""display_name"":""manovermachine""}"
"2025-11-19 14:22:59",INFO,receive_request,"Received syndication request from hub",-,"{""hub_url"":""https:\/\/hub2a.wpenginepowered.com"",""hub_id"":46662,""title"":""Test 2""}"
"2025-11-19 14:22:59",INFO,job_queued,"Job queued for processing: ""Test 2""",-,"{""job_id"":""IGOp5CjRQTOhVkbUymUExnF0j7VdnP4z"",""hub_id"":46662,""hub_url"":""https:\/\/hub2a.wpenginepowered.com"",""action"":""create""}"
"2025-11-19 14:22:59",INFO,job_processing,"Job processing started: ""Test 2""",-,"{""job_id"":""IGOp5CjRQTOhVkbUymUExnF0j7VdnP4z"",""action"":""create"",""hub_id"":46662}"
"2025-11-19 14:22:59",INFO,debug_content,"DEBUG: Content received from hub: 8:21AM",-,"{""full_content_length"":6}"
"2025-11-19 14:22:59",INFO,find_author,"Found matching author by email: mike@manovermachine.com",-,"{""matched_user_id"":38,""display_name"":""manovermachine""}"
"2025-11-18 17:41:08",SUCCESS,yoast_sync,"Post published after Yoast meta set",-,"{""post_id"":47169,""status"":""publish""}"
"2025-11-18 17:41:08",SUCCESS,async_create,"Async create completed for ""video test"" (2.46s)",-,"{""hub_id"":46660,""local_id"":47169,""processing_time"":2.4637868404388428,""job_id"":""PoQWym8UeoOyWOE0YRZWcBiEQvbHS2N9""}"
"2025-11-18 17:41:08",INFO,hub_notified,"Successfully notified hub of completion",-,"{""hub_url"":""https:\/\/hub2a.wpenginepowered.com"",""job_id"":""PoQWym8UeoOyWOE0YRZWcBiEQvbHS2N9"",""spoke_post_id"":47169}"
"2025-11-18 17:41:07",SUCCESS,set_featured_image,"Featured image set successfully",-,"{""attachment_id"":47170,""post_id"":47169}"
"2025-11-18 17:41:07",INFO,gallery_sync,"No gallery_images found in syndication data",-,[]
"2025-11-18 17:41:07",INFO,newspaper_update,"Updated Newspaper theme meta fields: td_post_video",-,"{""fields"":[""td_post_video""]}"
"2025-11-18 17:41:07",INFO,yoast_sync,"Post created as draft, now updating with Yoast meta",-,"{""post_id"":47169,""intended_status"":""publish""}"
"2025-11-18 17:41:07",INFO,find_author,"Found matching author by email: mike@manovermachine.com",-,"{""matched_user_id"":38,""display_name"":""manovermachine""}"
"2025-11-18 17:41:07",SUCCESS,set_featured_image,"Featured image set successfully",-,"{""attachment_id"":47171,""post_id"":47169}"
