Date,Status,Action,Message,Connection,Details
"2025-11-19 14:23:59",SUCCESS,sync_completed,"Sync completed: ""Test 2"" successfully synced to hub20spokesite",hub20spokesite,"{""hub_post_id"":46662,""spoke_post_id"":true,""job_id"":""gei4BivotqXDZ9GJvT1CEBdp8hfMkNNl""}"
"2025-11-19 14:23:25",SUCCESS,sync_completed,"Sync completed: ""Test 2"" successfully synced to Spoke 2","Spoke 2","{""hub_post_id"":46662,""spoke_post_id"":46562,""job_id"":""EPU3DuUasTKpQNMuyy8eOjEzIgH4GdbW""}"
"2025-11-19 14:23:24",SUCCESS,sync_completed,"Sync completed: ""Test 2"" successfully synced to Spoke 2","Spoke 2","{""hub_post_id"":46662,""spoke_post_id"":46562,""job_id"":""3WtSdUhjWebD6LtnbSnA37JkG0YzH3Av""}"
"2025-11-19 14:23:23",INFO,update_queued,"Post ""Test 2"" update queued for Spoke 2","Spoke 2","{""success"":true,""message"":""Post queued for processing"",""data"":{""success"":true,""message"":""Post update queued for processing"",""job_id"":""d285vXFt0zXVhwfg3r4SFtXkNQmiviZC"",""status"":""processing""},""async"":true,""job_id"":""d285vXFt0zXVhwfg3r4SFtXkNQmiviZC""}"
"2025-11-19 14:23:23",INFO,wake_up,"Spoke site is already awake","Spoke 2","{""connection_name"":""Spoke 2"",""response_code"":200}"
"2025-11-19 14:23:23",INFO,wake_up,"Attempting to wake up spoke site","Spoke 2","{""connection_name"":""Spoke 2"",""url"":""https:\/\/spoke2.wpenginepowered.com""}"
"2025-11-19 14:23:23",INFO,debug_content,"DEBUG: Final content being sent to spoke: 8:21AM","Spoke 2","{""connection_name"":""Spoke 2"",""full_content_length"":6}"
"2025-11-19 14:23:23",INFO,,"Custom Smart Links processing started for: Spoke 2",-,[]
"2025-11-19 14:23:23",INFO,gallery_sync,"No gallery images found in post content",-,[]
"2025-11-19 14:23:23",INFO,debug_content,"DEBUG: Original post content: 8:21AM",-,"{""full_content_length"":6}"
"2025-11-19 14:23:23",INFO,update_queued,"Post ""Test 2"" update queued for hub20spokesite",hub20spokesite,"{""success"":true,""message"":""Post queued for processing"",""data"":{""success"":true,""message"":""Post update queued for processing"",""job_id"":""gei4BivotqXDZ9GJvT1CEBdp8hfMkNNl"",""status"":""processing""},""async"":true,""job_id"":""gei4BivotqXDZ9GJvT1CEBdp8hfMkNNl""}"
"2025-11-19 14:23:22",INFO,wake_up,"Spoke site is already awake",hub20spokesite,"{""connection_name"":""hub20spokesite"",""response_code"":200}"
"2025-11-19 14:23:22",INFO,wake_up,"Attempting to wake up spoke site",hub20spokesite,"{""connection_name"":""hub20spokesite"",""url"":""https:\/\/hub20spokesite.wpenginepowered.com""}"
"2025-11-19 14:23:22",INFO,debug_content,"DEBUG: Final content being sent to spoke: 8:21AM",hub20spokesite,"{""connection_name"":""hub20spokesite"",""full_content_length"":6}"
"2025-11-19 14:23:22",INFO,,"Custom Smart Links processing started for: hub20spokesite",-,[]
"2025-11-19 14:23:22",INFO,gallery_sync,"No gallery images found in post content",-,[]
"2025-11-19 14:23:22",INFO,debug_content,"DEBUG: Original post content: 8:21AM",-,"{""full_content_length"":6}"
"2025-11-19 14:23:22",INFO,update_queued,"Post ""Test 2"" update queued for Spoke 2","Spoke 2","{""success"":true,""message"":""Post queued for processing"",""data"":{""success"":true,""message"":""Post queued for processing"",""job_id"":""wrkd0fVMQOuSKXHHAViWqkFSE8wRYZ9w"",""status"":""processing""},""async"":true,""job_id"":""wrkd0fVMQOuSKXHHAViWqkFSE8wRYZ9w""}"
