Date,Status,Action,Message,Connection,Details
"2025-12-05 18:24:40",INFO,hub_notified,"Successfully notified hub of completion",-,"{""hub_url"":""https:\/\/hub2a.wpenginepowered.com"",""job_id"":""uVkIjLqbzUXzsdOvipe3gw6iZJG3VOBg"",""spoke_post_id"":47513}"
"2025-12-05 18:24:40",SUCCESS,async_create,"Async create completed for ""Brazzell II Named Semifinalist for Earl Campbell Tyler Rose Award"" (0.30s)",-,"{""hub_id"":46831,""local_id"":47513,""processing_time"":0.30415797233581543,""job_id"":""uVkIjLqbzUXzsdOvipe3gw6iZJG3VOBg""}"
"2025-12-05 18:24:40",SUCCESS,yoast_sync,"Post updated with Yoast meta as draft",-,"{""post_id"":47513}"
"2025-12-05 18:24:40",INFO,find_author,"Found matching author by username: Mike",-,"{""matched_user_id"":14,""display_name"":""Michael Carpenter""}"
"2025-12-05 18:24:40",INFO,yoast_sync,"Post created as draft, now updating with Yoast meta",-,"{""post_id"":47513,""intended_status"":""draft""}"
"2025-12-05 18:24:40",INFO,gallery_sync,"No gallery_images found in syndication data",-,[]
"2025-12-05 18:24:40",INFO,find_author,"Found matching author by username: Mike",-,"{""matched_user_id"":14,""display_name"":""Michael Carpenter""}"
"2025-12-05 18:24:40",INFO,debug_content,"DEBUG: Content received from hub: <strong>TYLER, Texas – </strong>Tennessee redshirt junior wide receiver <dfn><a href=""https://utsports.com/sports/football/roster/chris-brazzell-ii/21983"" rel=""smarttag"" rev=""21983"">Chris Brazzell II</a></dfn> was named a semifinalist for the Earl Campbell Tyler Rose Award on Thursday.

The honor is presented annually to the nation's most outstanding Division I offensive player who either played football at and graduated from a Texas high school or played at a Texas Division I four-year c",-,"{""full_content_length"":4015}"
"2025-12-05 18:24:40",INFO,job_processing,"Job processing started: ""Brazzell II Named Semifinalist for Earl Campbell Tyler Rose Award""",-,"{""job_id"":""uVkIjLqbzUXzsdOvipe3gw6iZJG3VOBg"",""action"":""create"",""hub_id"":46831}"
"2025-12-05 18:24:35",INFO,receive_request,"Received syndication request from hub",-,"{""hub_url"":""https:\/\/hub2a.wpenginepowered.com"",""hub_id"":46831,""title"":""Brazzell II Named Semifinalist for Earl Campbell Tyler Rose Award""}"
"2025-12-05 18:24:35",INFO,job_queued,"Job queued for processing: ""Brazzell II Named Semifinalist for Earl Campbell Tyler Rose Award""",-,"{""job_id"":""uVkIjLqbzUXzsdOvipe3gw6iZJG3VOBg"",""hub_id"":46831,""hub_url"":""https:\/\/hub2a.wpenginepowered.com"",""action"":""create""}"
"2025-12-05 18:17:02",INFO,hub_notified,"Successfully notified hub of completion",-,"{""hub_url"":""https:\/\/hub2a.wpenginepowered.com"",""job_id"":""FTqpcha4RI9Yk5mPm96WLGD7AijIDohY"",""spoke_post_id"":47512}"
"2025-12-05 18:17:02",SUCCESS,async_create,"Async create completed for ""Brazzell II Named Semifinalist for Earl Campbell Tyler Rose Award"" (0.33s)",-,"{""hub_id"":46827,""local_id"":47512,""processing_time"":0.33040499687194824,""job_id"":""FTqpcha4RI9Yk5mPm96WLGD7AijIDohY""}"
"2025-12-05 18:17:02",SUCCESS,yoast_sync,"Post updated with Yoast meta as draft",-,"{""post_id"":47512}"
"2025-12-05 18:17:02",INFO,find_author,"Found matching author by email: info@middletennesseesource.com",-,"{""matched_user_id"":21,""display_name"":""Source Staff""}"
"2025-12-05 18:17:02",INFO,yoast_sync,"Post created as draft, now updating with Yoast meta",-,"{""post_id"":47512,""intended_status"":""draft""}"
"2025-12-05 18:17:02",INFO,gallery_sync,"No gallery_images found in syndication data",-,[]
"2025-12-05 18:17:01",INFO,find_author,"Found matching author by email: info@middletennesseesource.com",-,"{""matched_user_id"":21,""display_name"":""Source Staff""}"
"2025-12-05 18:17:01",INFO,debug_content,"DEBUG: Content received from hub: <strong>TYLER, Texas – </strong>Tennessee redshirt junior wide receiver <dfn><a href=""https://utsports.com/sports/football/roster/chris-brazzell-ii/21983"" rel=""smarttag"" rev=""21983"">Chris Brazzell II</a></dfn> was named a semifinalist for the Earl Campbell Tyler Rose Award on Thursday.

The honor is presented annually to the nation's most outstanding Division I offensive player who either played football at and graduated from a Texas high school or played at a Texas Division I four-year c",-,"{""full_content_length"":4015}"
"2025-12-05 18:17:01",INFO,job_processing,"Job processing started: ""Brazzell II Named Semifinalist for Earl Campbell Tyler Rose Award""",-,"{""job_id"":""FTqpcha4RI9Yk5mPm96WLGD7AijIDohY"",""action"":""create"",""hub_id"":46827}"
"2025-12-05 18:16:46",INFO,receive_request,"Received syndication request from hub",-,"{""hub_url"":""https:\/\/hub2a.wpenginepowered.com"",""hub_id"":46827,""title"":""Brazzell II Named Semifinalist for Earl Campbell Tyler Rose Award""}"
"2025-12-05 18:16:46",INFO,job_queued,"Job queued for processing: ""Brazzell II Named Semifinalist for Earl Campbell Tyler Rose Award""",-,"{""job_id"":""FTqpcha4RI9Yk5mPm96WLGD7AijIDohY"",""hub_id"":46827,""hub_url"":""https:\/\/hub2a.wpenginepowered.com"",""action"":""create""}"
