Date,Status,Action,Message,Connection,Details
"2025-12-03 04:30:56",INFO,hub_notified,"Successfully notified hub of completion",-,"{""hub_url"":""https:\/\/hub2a.wpenginepowered.com"",""job_id"":""Up4Wkew0y5OBuvWPM75dGslVRpi0WpKM"",""spoke_post_id"":47491}"
"2025-12-03 04:30:55",INFO,job_processing,"Job processing started: ""1999 - Test 2""",-,"{""job_id"":""Up4Wkew0y5OBuvWPM75dGslVRpi0WpKM"",""action"":""create"",""hub_id"":46796}"
"2025-12-03 04:30:55",INFO,debug_content,"DEBUG: Content received from hub: 1999 - Test 2",-,"{""full_content_length"":13}"
"2025-12-03 04:30:55",INFO,find_author,"Found matching author by email: mike@manovermachine.com",-,"{""matched_user_id"":38,""display_name"":""manovermachine""}"
"2025-12-03 04:30:55",INFO,gallery_sync,"No gallery_images found in syndication data",-,[]
"2025-12-03 04:30:55",INFO,yoast_sync,"Post created as draft, now updating with Yoast meta",-,"{""post_id"":47491,""intended_status"":""draft""}"
"2025-12-03 04:30:55",INFO,find_author,"Found matching author by email: mike@manovermachine.com",-,"{""matched_user_id"":38,""display_name"":""manovermachine""}"
"2025-12-03 04:30:55",SUCCESS,yoast_sync,"Post updated with Yoast meta as draft",-,"{""post_id"":47491}"
"2025-12-03 04:30:55",SUCCESS,async_create,"Async create completed for ""1999 - Test 2"" (0.11s)",-,"{""hub_id"":46796,""local_id"":47491,""processing_time"":0.10684800148010254,""job_id"":""Up4Wkew0y5OBuvWPM75dGslVRpi0WpKM""}"
"2025-12-03 04:30:26",INFO,receive_request,"Received syndication request from hub",-,"{""hub_url"":""https:\/\/hub2a.wpenginepowered.com"",""hub_id"":46796,""title"":""1999 - Test 2""}"
"2025-12-03 04:30:26",INFO,job_queued,"Job queued for processing: ""1999 - Test 2""",-,"{""job_id"":""Up4Wkew0y5OBuvWPM75dGslVRpi0WpKM"",""hub_id"":46796,""hub_url"":""https:\/\/hub2a.wpenginepowered.com"",""action"":""create""}"
"2025-12-03 04:25:36",INFO,hub_notified,"Successfully notified hub of completion",-,"{""hub_url"":""https:\/\/hub2a.wpenginepowered.com"",""job_id"":""Z8lq0GJlqAvu0FfCnyyni9qUP44LQkzb"",""spoke_post_id"":true}"
"2025-12-03 04:25:35",SUCCESS,set_featured_image,"Featured image set successfully",-,"{""attachment_id"":47490,""post_id"":47489}"
"2025-12-03 04:25:35",INFO,yoast_receive,"Received Yoast data from hub (2 fields)",-,"{""yoast_fields"":[""_yoast_wpseo_metadesc"",""_yoast_wpseo_focuskw""],""has_metadesc"":true,""has_focuskw"":true}"
"2025-12-03 04:25:35",SUCCESS,async_update,"Async update completed for ""1999 Test"" (14.37s)",-,"{""hub_id"":46794,""local_id"":true,""processing_time"":14.369410037994385,""job_id"":""Z8lq0GJlqAvu0FfCnyyni9qUP44LQkzb""}"
"2025-12-03 04:25:22",INFO,job_queued,"Update job queued for processing: ""1999 Test""",-,"{""job_id"":""Q8RhUZCffelVfPPgmCuy1LORDuS5rrvc"",""hub_id"":46794,""hub_url"":""https:\/\/hub2a.wpenginepowered.com"",""action"":""update""}"
"2025-12-03 04:25:21",INFO,job_processing,"Job processing started: ""1999 Test""",-,"{""job_id"":""Z8lq0GJlqAvu0FfCnyyni9qUP44LQkzb"",""action"":""update"",""hub_id"":46794}"
"2025-12-03 04:25:21",INFO,find_author,"Found matching author by email: mike@manovermachine.com",-,"{""matched_user_id"":38,""display_name"":""manovermachine""}"
"2025-12-03 04:25:20",INFO,job_queued,"Update job queued for processing: ""1999 Test""",-,"{""job_id"":""Z8lq0GJlqAvu0FfCnyyni9qUP44LQkzb"",""hub_id"":46794,""hub_url"":""https:\/\/hub2a.wpenginepowered.com"",""action"":""update""}"
"2025-12-03 04:24:30",INFO,hub_notified,"Successfully notified hub of completion",-,"{""hub_url"":""https:\/\/hub2a.wpenginepowered.com"",""job_id"":""GKsJLTMVKecgGUFOKZQLyPQxs1Ebf3mq"",""spoke_post_id"":true}"
"2025-12-03 04:24:29",INFO,job_processing,"Job processing started: ""1999 Test""",-,"{""job_id"":""GKsJLTMVKecgGUFOKZQLyPQxs1Ebf3mq"",""action"":""update"",""hub_id"":46794}"
"2025-12-03 04:24:29",INFO,find_author,"Found matching author by email: mike@manovermachine.com",-,"{""matched_user_id"":38,""display_name"":""manovermachine""}"
