Date,Status,Action,Message,Connection,Details
"2026-04-21 14:47:29",INFO,hub_notified,"Successfully notified hub of completion",-,"{""hub_url"":""https:\/\/hub2a.wpenginepowered.com"",""job_id"":""Gr8Mrh2wNYHaElWUjDkvmZSMhRZ54cw3"",""spoke_post_id"":77786}"
"2026-04-21 14:47:27",INFO,yoast_receive,"Received Yoast data from hub (2 fields)",-,"{""yoast_fields"":[""_yoast_wpseo_metadesc"",""_yoast_wpseo_focuskw""],""has_metadesc"":true,""has_focuskw"":true}"
"2026-04-21 14:47:27",SUCCESS,set_featured_image,"Featured image set successfully",-,"{""attachment_id"":77787,""post_id"":77786}"
"2026-04-21 14:47:27",SUCCESS,async_update,"Async update completed for ""Nashville Zoo Celebrates First Successful Breeding Of Glass Frogs"" (12.37s)",-,"{""hub_id"":58882,""local_id"":77786,""processing_time"":12.373456954956055,""job_id"":""Gr8Mrh2wNYHaElWUjDkvmZSMhRZ54cw3""}"
"2026-04-21 14:47:27",INFO,yoast_update,"Updated Yoast SEO meta fields: _yoast_wpseo_metadesc, _yoast_wpseo_focuskw",-,"{""fields"":[""_yoast_wpseo_metadesc"",""_yoast_wpseo_focuskw""]}"
"2026-04-21 14:47:15",INFO,job_processing,"Job processing started: ""Nashville Zoo Celebrates First Successful Breeding Of Glass Frogs""",-,"{""job_id"":""Gr8Mrh2wNYHaElWUjDkvmZSMhRZ54cw3"",""action"":""update"",""hub_id"":58882}"
"2026-04-21 14:47:15",INFO,find_author,"Found matching author by email: info@middletennesseesource.com",-,"{""matched_user_id"":21,""display_name"":""Source Staff""}"
"2026-04-21 14:46:46",INFO,job_queued,"Update job queued for processing: ""Nashville Zoo Celebrates First Successful Breeding Of Glass Frogs""",-,"{""job_id"":""Gr8Mrh2wNYHaElWUjDkvmZSMhRZ54cw3"",""hub_id"":58882,""hub_url"":""https:\/\/hub2a.wpenginepowered.com"",""action"":""update""}"
"2026-04-21 14:46:45",INFO,hub_notified,"Successfully notified hub of completion",-,"{""hub_url"":""https:\/\/hub2a.wpenginepowered.com"",""job_id"":""zl4Cjau3wtc0F4LY43qWFvJQTC39fIOe"",""spoke_post_id"":77786}"
"2026-04-21 14:46:44",INFO,debug_content,"DEBUG: Content received from hub: There’s a new reason to visit the Nashville Zoo after a rare and exciting milestone behind the scenes.

The Nashville Zoo announced it has successfully bred reticulated glass frogs for the first time. Staff discovered a clutch of eggs in the frogs’ habitat and moved them to the zoo’s Amphibian Room for incubation.

After about five months developing as tadpoles, the first froglets are now beginning to emerge.

Glass frogs are known for their unique прозрачность, allowing ",-,"{""full_content_length"":1050}"
"2026-04-21 14:46:44",INFO,find_author,"Found matching author by email: info@middletennesseesource.com",-,"{""matched_user_id"":21,""display_name"":""Source Staff""}"
"2026-04-21 14:46:44",SUCCESS,async_create,"Async create completed for ""Nashville Zoo Celebrates First Successful Breeding Of Glass Frogs"" (0.17s)",-,"{""hub_id"":58882,""local_id"":77786,""processing_time"":0.1676180362701416,""job_id"":""zl4Cjau3wtc0F4LY43qWFvJQTC39fIOe""}"
"2026-04-21 14:46:44",INFO,job_processing,"Job processing started: ""Nashville Zoo Celebrates First Successful Breeding Of Glass Frogs""",-,"{""job_id"":""zl4Cjau3wtc0F4LY43qWFvJQTC39fIOe"",""action"":""create"",""hub_id"":58882}"
"2026-04-21 14:46:44",INFO,gallery_sync,"No gallery_images found in syndication data",-,[]
"2026-04-21 14:46:44",SUCCESS,yoast_sync,"Post updated with Yoast meta as draft",-,"{""post_id"":77786}"
"2026-04-21 14:46:44",INFO,yoast_sync,"Post created as draft, now updating with Yoast meta",-,"{""post_id"":77786,""intended_status"":""draft""}"
"2026-04-21 14:46:44",INFO,find_author,"Found matching author by email: info@middletennesseesource.com",-,"{""matched_user_id"":21,""display_name"":""Source Staff""}"
"2026-04-21 14:46:01",INFO,receive_request,"Received syndication request from hub",-,"{""hub_url"":""https:\/\/hub2a.wpenginepowered.com"",""hub_id"":58882,""title"":""Nashville Zoo Celebrates First Successful Breeding Of Glass Frogs""}"
"2026-04-21 14:46:01",INFO,job_queued,"Job queued for processing: ""Nashville Zoo Celebrates First Successful Breeding Of Glass Frogs""",-,"{""job_id"":""zl4Cjau3wtc0F4LY43qWFvJQTC39fIOe"",""hub_id"":58882,""hub_url"":""https:\/\/hub2a.wpenginepowered.com"",""action"":""create""}"
"2026-04-21 14:28:13",INFO,hub_notified,"Successfully notified hub of completion",-,"{""hub_url"":""https:\/\/hub2a.wpenginepowered.com"",""job_id"":""aNw9ROSFrd69sJEvtqDmHISvmR6mn0cw"",""spoke_post_id"":77778}"
"2026-04-21 14:28:11",INFO,yoast_receive,"Received Yoast data from hub (2 fields)",-,"{""yoast_fields"":[""_yoast_wpseo_metadesc"",""_yoast_wpseo_focuskw""],""has_metadesc"":true,""has_focuskw"":true}"
"2026-04-21 14:28:11",INFO,yoast_update,"Updated Yoast SEO meta fields: _yoast_wpseo_metadesc, _yoast_wpseo_focuskw",-,"{""fields"":[""_yoast_wpseo_metadesc"",""_yoast_wpseo_focuskw""]}"
"2026-04-21 14:28:11",SUCCESS,set_featured_image,"Featured image set successfully",-,"{""attachment_id"":77779,""post_id"":77778}"
"2026-04-21 14:28:11",SUCCESS,async_update,"Async update completed for ""Krispy Kreme and Milk Bar Team Up for Limited-Time Doughnut Collection"" (6.12s)",-,"{""hub_id"":58879,""local_id"":77778,""processing_time"":6.116481065750122,""job_id"":""aNw9ROSFrd69sJEvtqDmHISvmR6mn0cw""}"
"2026-04-21 14:28:05",INFO,find_author,"Found matching author by email: info@middletennesseesource.com",-,"{""matched_user_id"":21,""display_name"":""Source Staff""}"
"2026-04-21 14:28:05",INFO,job_processing,"Job processing started: ""Krispy Kreme and Milk Bar Team Up for Limited-Time Doughnut Collection""",-,"{""job_id"":""aNw9ROSFrd69sJEvtqDmHISvmR6mn0cw"",""action"":""update"",""hub_id"":58879}"
"2026-04-21 14:27:55",INFO,job_queued,"Update job queued for processing: ""Krispy Kreme and Milk Bar Team Up for Limited-Time Doughnut Collection""",-,"{""job_id"":""aNw9ROSFrd69sJEvtqDmHISvmR6mn0cw"",""hub_id"":58879,""hub_url"":""https:\/\/hub2a.wpenginepowered.com"",""action"":""update""}"
"2026-04-21 14:27:04",INFO,hub_notified,"Successfully notified hub of completion",-,"{""hub_url"":""https:\/\/hub2a.wpenginepowered.com"",""job_id"":""3bq90Uv6L0dRsQbs6k7VqGG0LtxUK5mW"",""spoke_post_id"":77778}"
"2026-04-21 14:27:03",INFO,gallery_sync,"No gallery_images found in syndication data",-,[]
"2026-04-21 14:27:03",INFO,find_author,"Found matching author by email: info@middletennesseesource.com",-,"{""matched_user_id"":21,""display_name"":""Source Staff""}"
"2026-04-21 14:27:03",INFO,job_processing,"Job processing started: ""Krispy Kreme and Milk Bar Team Up for Limited-Time Doughnut Collection""",-,"{""job_id"":""3bq90Uv6L0dRsQbs6k7VqGG0LtxUK5mW"",""action"":""create"",""hub_id"":58879}"
"2026-04-21 14:27:03",INFO,debug_content,"DEBUG: Content received from hub: Krispy Kreme and Milk Bar have joined forces for their first-ever collaboration, launching a limited-time doughnut collection that transforms some of Milk Bar's most beloved flavors into Krispy Kreme creations. The <a href=""https://www.krispykreme.com/promos/milk-bar-doughnuts"">Krispy Kreme x Milk Bar Collection</a> began rolling out Tuesday, April 21, 2026, bringing James Beard Award-winning pastry chef Christina Tosi's iconic desserts to doughnut shops nationwide. <a href=""https://davidsoncoun",-,"{""full_content_length"":3149}"
"2026-04-21 14:27:03",INFO,find_author,"Found matching author by email: info@middletennesseesource.com",-,"{""matched_user_id"":21,""display_name"":""Source Staff""}"
"2026-04-21 14:27:03",SUCCESS,yoast_sync,"Post updated with Yoast meta as draft",-,"{""post_id"":77778}"
"2026-04-21 14:27:03",INFO,yoast_sync,"Post created as draft, now updating with Yoast meta",-,"{""post_id"":77778,""intended_status"":""draft""}"
"2026-04-21 14:27:03",SUCCESS,async_create,"Async create completed for ""Krispy Kreme and Milk Bar Team Up for Limited-Time Doughnut Collection"" (0.34s)",-,"{""hub_id"":58879,""local_id"":77778,""processing_time"":0.3382549285888672,""job_id"":""3bq90Uv6L0dRsQbs6k7VqGG0LtxUK5mW""}"
"2026-04-21 14:26:06",INFO,receive_request,"Received syndication request from hub",-,"{""hub_url"":""https:\/\/hub2a.wpenginepowered.com"",""hub_id"":58879,""title"":""Krispy Kreme and Milk Bar Team Up for Limited-Time Doughnut Collection""}"
"2026-04-21 14:26:06",INFO,job_queued,"Job queued for processing: ""Krispy Kreme and Milk Bar Team Up for Limited-Time Doughnut Collection""",-,"{""job_id"":""3bq90Uv6L0dRsQbs6k7VqGG0LtxUK5mW"",""hub_id"":58879,""hub_url"":""https:\/\/hub2a.wpenginepowered.com"",""action"":""create""}"
"2026-04-21 14:18:44",INFO,hub_notified,"Successfully notified hub of completion",-,"{""hub_url"":""https:\/\/hub2a.wpenginepowered.com"",""job_id"":""TkqemZnEgh25Reqz2bXAQKkjTOJMQw45"",""spoke_post_id"":77777}"
"2026-04-21 14:18:43",INFO,job_processing,"Job processing started: ""Drug Investigation Leads To Seizures In Lebanon And Hermitage""",-,"{""job_id"":""TkqemZnEgh25Reqz2bXAQKkjTOJMQw45"",""action"":""create"",""hub_id"":58866}"
