Date,Status,Action,Message,Connection,Details
"2026-01-12 20:38:06",ERROR,timeout,"Syndication timeout for post 47192 to Dickson County Source after 5 minutes","Dickson County Source","{""connection_id"":11,""elapsed_seconds"":3049,""started_at"":""2026-01-12 13:47:17""}"
"2026-01-12 20:04:37",ERROR,syndicate,"Failed to syndicate post ""Chipotle Announces Free Double Protein on January 13"" to Cannon County Source: Failed after 1 attempts: cURL error 28: Operation timed out after 30002 milliseconds with 0 bytes received","Cannon County Source","{""success"":false,""message"":""Failed after 1 attempts: cURL error 28: Operation timed out after 30002 milliseconds with 0 bytes received"",""data"":{""hub_id"":47194,""title"":""Chipotle Announces Free Double Protein on January 13"",""content"":""Chipotle Mexican Grill is offering Chipotle Rewards members free double protein on bowls, burritos, and salads on Tuesday, January 13, 2026. Members can redeem this offer using promo code PROTEIN on the Chipotle app, <a href=\"https:\/\/www.chipotle.com\">Chipotle.com<\/a>, and <a href=\"https:\/\/www.chipotle.ca\">Chipotle.ca<\/a>. The promotion coincides with one of the most popular workout days of the year as consumers focus on fitness and nutrition goals in January.\r\n<h3>Free Double Protein Promotion Details<\/h3>\r\nOn January 13, 2026, Chipotle Rewards members in the United States and Canada who order bowls, burritos, and salads with double protein can use code PROTEIN at checkout to receive the extra portion of protein for free. The offer applies to all protein options including Adobo Chicken, Steak, Braised Beef Barbacoa, Carnitas, and Sofritas. Mixed protein orders will be charged for the higher-priced protein option.\r\n\r\nThe promotion is valid exclusively for digital orders placed through the Chipotle app, <a href=\"https:\/\/www.chipotle.com\">Chipotle.com<\/a>, and <a href=\"https:\/\/www.chipotle.ca\">Chipotle.ca<\/a>. The offer cannot be redeemed on in-restaurant orders or through third-party delivery platforms. Each promo code can be used one time per eligible transaction on January 13, 2026 only.\r\n<h3>Chipotle High Protein Menu Options<\/h3>\r\nThe free double protein offer is valid for custom entr\u00e9es as well as items from Chipotle's new <a href=\"https:\/\/www.chipotle.com\">High Protein Menu<\/a>. Featured double protein options include:\r\n\r\nDouble High Protein Bowl \u2013 Contains 81 grams of protein, 11 grams of fiber, and 760 calories. This burrito bowl features double Adobo Chicken, light white rice, black beans, fajita veggies, fresh tomato salsa, Monterey Jack cheese, and extra romaine lettuce.\r\n\r\nDouble High Protein Burrito \u2013 Contains 79 grams of protein, 6 grams of fiber, and 840 calories. This burrito features double Adobo Chicken, fresh tomato salsa, fajita veggies, Monterey Jack cheese, and romaine lettuce.\r\n\r\nJosh Hart's High Protein Burrito \u2013 Contains 95 grams of protein, 14 grams of fiber, and 1,340 calories. This signature burrito features double Adobo Chicken, white rice, black beans, fresh tomato salsa, roasted chili-corn salsa, sour cream, and Monterey Jack cheese. Professional basketball player Josh Hart, a longtime Chipotle superfan and Celebrity Card holder, created this order to fuel his athletic performance.\r\n<h3>High Protein Menu Expansion<\/h3>\r\nChipotle recently launched its <a href=\"https:\/\/www.chipotle.com\">High Protein Menu<\/a> featuring curated builds ranging from 15 to 81 grams of protein per item. Menu additions include the Double High Protein Bowl, High Protein-High Fiber Bowl, Single Chicken Taco, and the brand's first-ever snack item: the High Protein Cup. The High Protein Cup offers a side of Adobo Chicken or Steak with a national weighted average price of $3.82.\r\n\r\nStephanie Perdue, Vice President of Brand Marketing at Chipotle, stated that clean protein has been a pillar of the restaurant's core menu. Chipotle's Adobo Chicken is humanely raised and never given antibiotics, allowing customers to enjoy high protein options without sacrificing flavor.\r\n<h3>Promotion Restrictions and Terms<\/h3>\r\nThe free double protein offer is not valid on High Protein Cups, side items, tacos, quesadillas, or kids meals. The promotion cannot be combined with other coupons, promotions, or special offers. Deliveries and redemptions are subject to availability, and additional restrictions may apply. Nutritional content may vary due to portion size variations, recipe changes, growing seasons, or differences in ingredient sources.\r\n\r\nFor more information about Chipotle's High Protein Menu and to place orders, visit <a href=\"https:\/\/www.chipotle.com\">Chipotle.com<\/a> or download the Chipotle mobile app.\r\n\r\n<a href=\"https:\/\/newsroom.chipotle.com\/2026-01-12-CHIPOTLE-ANNOUNCES-FREE-DOUBLE-PROTEIN-OFFER-ON-TUESDAY,-JANUARY-13-TO-POWER-PROTEIN-GOALS\">Source: Chipotle<\/a>\r\n\r\n<a href=\"https:\/\/cannoncountysource.com\/eat-and-drink\/\" class=\"sourcehub-smart-link-processed\">More Eat &amp; Drink News<\/a>"",""excerpt"":"""",""status"":""draft"",""slug"":""chipotle-announces-free-double-protein-on-january-13"",""date"":""2026-01-12 14:04:00"",""date_gmt"":""2026-01-12 20:04:00"",""modified"":""2026-01-12 14:04:00"",""modified_gmt"":""2026-01-12 20:04:00"",""post_type"":""post"",""page_template"":"""",""hub_url"":""https:\/\/hub2a.wpenginepowered.com"",""author"":{""name"":""Michael Carpenter"",""email"":""michael.carpenter@empowerlocal.com"",""login"":""Mike""},""categories"":[{""name"":""Eat &amp; Drink"",""slug"":""eat-and-drink"",""description"":""<img class=\"aligncenter size-full wp-image-171\" src=\"https:\/\/hub2a.wpenginepowered.com\/wp-content\/uploads\/2021\/03\/restaurant-inspection.jpeg\" alt=\"restaurant-health-inspections\" width=\"1024\" height=\"683\" \/>Restaurant news, recipes and more eat and drink news and articles for Cheatham County, Tennessee""},{""name"":""Eat &amp; Drink"",""slug"":""eat-drink"",""description"":""""},{""name"":""Local Living"",""slug"":""local-living"",""description"":""<img class=\"size-full wp-image-4909\" src=\"https:\/\/hub2a.wpenginepowered.com\/wp-content\/uploads\/2022\/01\/Beverly-Mitchell-scaled-e1641306444940.jpg\" alt=\"Columbia State Establishes Beverly Mitchell Prize for Creative Writing\" width=\"518\" height=\"600\" \/>\r\n\r\nLocal Living in Cheatham County, Tennessee""}],""tags"":[{""name"":""Chipotle"",""slug"":""chipotle"",""description"":""""},{""name"":""Chipotle Rewards"",""slug"":""chipotle-rewards"",""description"":""""},{""name"":""free double protein"",""slug"":""free-double-protein"",""description"":""""},{""name"":""promo code PROTEIN"",""slug"":""promo-code-protein"",""description"":""""}],""newspaper_meta"":[]}}"
"2026-01-12 14:32:42",ERROR,timeout,"Syndication timeout for post 47163 to Dickson County Source after 5 minutes","Dickson County Source","{""connection_id"":11,""elapsed_seconds"":1825,""started_at"":""2026-01-12 08:02:17""}"
"2026-01-09 16:32:28",ERROR,timeout,"Syndication timeout for post 47154 to Sumner County Source after 5 minutes","Sumner County Source","{""connection_id"":9,""elapsed_seconds"":382,""started_at"":""2026-01-09 10:26:06""}"
"2026-01-09 15:33:23",ERROR,timeout,"Syndication timeout for post 47150 to Cannon County Source after 5 minutes","Cannon County Source","{""connection_id"":3,""elapsed_seconds"":2466,""started_at"":""2026-01-09 08:52:17""}"
"2026-01-09 00:34:49",ERROR,timeout,"Syndication timeout for post 27765 to Robertson County Source after 5 minutes","Robertson County Source","{""connection_id"":4,""elapsed_seconds"":15446,""started_at"":""2026-01-08 14:17:23""}"
"2026-01-09 00:34:49",ERROR,timeout,"Syndication timeout for post 27765 to Cannon County Source after 5 minutes","Cannon County Source","{""connection_id"":3,""elapsed_seconds"":15450,""started_at"":""2026-01-08 14:17:19""}"
"2026-01-07 14:32:43",ERROR,timeout,"Syndication timeout for post 47100 to Cannon County Source after 5 minutes","Cannon County Source","{""connection_id"":3,""elapsed_seconds"":710,""started_at"":""2026-01-07 08:20:53""}"
"2026-01-05 22:32:53",ERROR,timeout,"Syndication timeout for post 47044 to Dickson County Source after 5 minutes","Dickson County Source","{""connection_id"":11,""elapsed_seconds"":1607,""started_at"":""2026-01-05 16:06:06""}"
"2026-01-05 16:32:41",ERROR,timeout,"Syndication timeout for post 47040 to Cannon County Source after 5 minutes","Cannon County Source","{""connection_id"":3,""elapsed_seconds"":393,""started_at"":""2026-01-05 10:26:08""}"
