Date,Status,Action,Message,Connection,Details
"2026-04-21 14:48:38",SUCCESS,sync_completed,"Sync completed: ""Nashville Zoo Celebrates First Successful Breeding Of Glass Frogs"" successfully synced to Williamson Source","Williamson Source","{""hub_post_id"":58882,""spoke_post_id"":442934,""job_id"":""IJ4E1LedNXDGUJ8zGYCU165DBtWd2Dnt""}"
"2026-04-21 14:47:36",SUCCESS,sync_completed,"Sync completed: ""Nashville Zoo Celebrates First Successful Breeding Of Glass Frogs"" successfully synced to Rutherford County Source","Rutherford County Source","{""hub_post_id"":58882,""spoke_post_id"":465108,""job_id"":""awYnC5cL7gIIrW3b9yPBPKqKnmRiDXgN""}"
"2026-04-21 14:47:33",SUCCESS,sync_completed,"Sync completed: ""Nashville Zoo Celebrates First Successful Breeding Of Glass Frogs"" successfully synced to Robertson County Source","Robertson County Source","{""hub_post_id"":58882,""spoke_post_id"":53226,""job_id"":""y8eDalySwiqtvDkejcIfNzxBGnm8nPJH""}"
"2026-04-21 14:47:29",SUCCESS,sync_completed,"Sync completed: ""Nashville Zoo Celebrates First Successful Breeding Of Glass Frogs"" successfully synced to Davidson County Source","Davidson County Source","{""hub_post_id"":58882,""spoke_post_id"":77786,""job_id"":""Gr8Mrh2wNYHaElWUjDkvmZSMhRZ54cw3""}"
"2026-04-21 14:47:24",SUCCESS,sync_completed,"Sync completed: ""Nashville Zoo Celebrates First Successful Breeding Of Glass Frogs"" successfully synced to Cannon County Source","Cannon County Source","{""hub_post_id"":58882,""spoke_post_id"":51431,""job_id"":""zA5jNa8hyOSVZDuHPX89m7kJNWVgDoEb""}"
"2026-04-21 14:47:19",SUCCESS,sync_completed,"Sync completed: ""Nashville Zoo Celebrates First Successful Breeding Of Glass Frogs"" successfully synced to Cheatham County Source","Cheatham County Source","{""hub_post_id"":58882,""spoke_post_id"":51218,""job_id"":""7soPsV19Iy7UtVy4zUg3V0GodLVfDEes""}"
"2026-04-21 14:47:18",SUCCESS,sync_completed,"Sync completed: ""Nashville Zoo Celebrates First Successful Breeding Of Glass Frogs"" successfully synced to Sumner County Source","Sumner County Source","{""hub_post_id"":58882,""spoke_post_id"":62067,""job_id"":""hmlOfIxF4QLpRC4ME1VDEMGaBaIduqQg""}"
"2026-04-21 14:47:17",SUCCESS,sync_completed,"Sync completed: ""Nashville Zoo Celebrates First Successful Breeding Of Glass Frogs"" successfully synced to Maury County Source","Maury County Source","{""hub_post_id"":58882,""spoke_post_id"":61527,""job_id"":""ux6j5ypQ0ygunYkeyjY0NyjBRnpwHIhP""}"
"2026-04-21 14:47:08",SUCCESS,sync_completed,"Sync completed: ""Nashville Zoo Celebrates First Successful Breeding Of Glass Frogs"" successfully synced to Dickson County Source","Dickson County Source","{""hub_post_id"":58882,""spoke_post_id"":53633,""job_id"":""CipI4OJzn88tYgP6ZOvVjhHJmqUzNHDK""}"
"2026-04-21 14:47:04",SUCCESS,sync_completed,"Sync completed: ""Nashville Zoo Celebrates First Successful Breeding Of Glass Frogs"" successfully synced to Wilson County Source","Wilson County Source","{""hub_post_id"":58882,""spoke_post_id"":63080,""job_id"":""eDiKsUBgkfSs5vu9nx3EpiUGJ4bikIZb""}"
"2026-04-21 14:46:49",WARNING,delayed_sync_unexpected_state,"Delayed sync called for already-syndicated post without pending completion flag",-,"{""post_id"":58882,""syndicated_spokes"":[3,14,13,11,10,4,12,9,8,7]}"
"2026-04-21 14:46:49",INFO,update_queued,"Post ""Nashville Zoo Celebrates First Successful Breeding Of Glass Frogs"" update queued for Wilson County Source","Wilson County Source","{""success"":true,""message"":""Post queued for processing"",""data"":{""success"":true,""message"":""Post update queued for processing"",""job_id"":""eDiKsUBgkfSs5vu9nx3EpiUGJ4bikIZb"",""status"":""processing""},""async"":true,""job_id"":""eDiKsUBgkfSs5vu9nx3EpiUGJ4bikIZb""}"
"2026-04-21 14:46:49",INFO,wake_up,"Spoke site is already awake","Wilson County Source","{""connection_name"":""Wilson County Source"",""response_code"":200}"
"2026-04-21 14:46:49",INFO,wake_up,"Attempting to wake up spoke site","Wilson County Source","{""connection_name"":""Wilson County Source"",""url"":""https:\/\/wilsoncountysource.com""}"
"2026-04-21 14:46:49",INFO,debug_content,"DEBUG: Final content being sent to spoke: There’s a new reason to visit the Nashville Zoo after a rare and exciting milestone behind the scenes.

The Nashville Zoo announced it has successfully bred reticulated glass frogs for the first time. Staff discovered a clutch of eggs in the frogs’ habitat and moved them to the zoo’s Amphibian Room for incubation.

After about five months developing as tadpoles, the first froglets are now beginning to emerge.

Glass frogs are known for their unique прозрачность, allowing ","Wilson County Source","{""connection_name"":""Wilson County Source"",""full_content_length"":1048}"
"2026-04-21 14:46:49",INFO,,"Custom Smart Links processing started for: Wilson County Source",-,[]
"2026-04-21 14:46:49",INFO,yoast_collect,"Collected Yoast data for ""Nashville Zoo Celebrates First Successful Breeding Of Glass Frogs"" to send to Wilson County Source","Wilson County Source","{""yoast_fields"":[""_yoast_wpseo_metadesc"",""_yoast_wpseo_focuskw""],""has_metadesc"":true,""has_focuskw"":true}"
"2026-04-21 14:46:49",INFO,gallery_sync,"No gallery images found in post content",-,[]
"2026-04-21 14:46:49",INFO,debug_content,"DEBUG: Original post content: There’s a new reason to visit the Nashville Zoo after a rare and exciting milestone behind the scenes.

The Nashville Zoo announced it has successfully bred reticulated glass frogs for the first time. Staff discovered a clutch of eggs in the frogs’ habitat and moved them to the zoo’s Amphibian Room for incubation.

After about five months developing as tadpoles, the first froglets are now beginning to emerge.

Glass frogs are known for their unique прозрачность, allowing ",-,"{""full_content_length"":997}"
"2026-04-21 14:46:49",INFO,update_queued,"Post ""Nashville Zoo Celebrates First Successful Breeding Of Glass Frogs"" update queued for Williamson Source","Williamson Source","{""success"":true,""message"":""Post queued for processing"",""data"":{""success"":true,""message"":""Post update queued for processing"",""job_id"":""IJ4E1LedNXDGUJ8zGYCU165DBtWd2Dnt"",""status"":""processing""},""async"":true,""job_id"":""IJ4E1LedNXDGUJ8zGYCU165DBtWd2Dnt""}"
"2026-04-21 14:46:49",INFO,wake_up,"Spoke site is already awake","Williamson Source","{""connection_name"":""Williamson Source"",""response_code"":200}"
"2026-04-21 14:46:48",INFO,wake_up,"Attempting to wake up spoke site","Williamson Source","{""connection_name"":""Williamson Source"",""url"":""https:\/\/williamsonsource.com""}"
"2026-04-21 14:46:48",INFO,debug_content,"DEBUG: Final content being sent to spoke: There’s a new reason to visit the Nashville Zoo after a rare and exciting milestone behind the scenes.

The Nashville Zoo announced it has successfully bred reticulated glass frogs for the first time. Staff discovered a clutch of eggs in the frogs’ habitat and moved them to the zoo’s Amphibian Room for incubation.

After about five months developing as tadpoles, the first froglets are now beginning to emerge.

Glass frogs are known for their unique прозрачность, allowing ","Williamson Source","{""connection_name"":""Williamson Source"",""full_content_length"":1046}"
"2026-04-21 14:46:48",INFO,,"Custom Smart Links processing started for: Williamson Source",-,[]
"2026-04-21 14:46:48",INFO,yoast_collect,"Collected Yoast data for ""Nashville Zoo Celebrates First Successful Breeding Of Glass Frogs"" to send to Williamson Source","Williamson Source","{""yoast_fields"":[""_yoast_wpseo_metadesc"",""_yoast_wpseo_focuskw""],""has_metadesc"":true,""has_focuskw"":true}"
"2026-04-21 14:46:48",INFO,gallery_sync,"No gallery images found in post content",-,[]
"2026-04-21 14:46:48",INFO,debug_content,"DEBUG: Original post content: There’s a new reason to visit the Nashville Zoo after a rare and exciting milestone behind the scenes.

The Nashville Zoo announced it has successfully bred reticulated glass frogs for the first time. Staff discovered a clutch of eggs in the frogs’ habitat and moved them to the zoo’s Amphibian Room for incubation.

After about five months developing as tadpoles, the first froglets are now beginning to emerge.

Glass frogs are known for their unique прозрачность, allowing ",-,"{""full_content_length"":997}"
"2026-04-21 14:46:48",INFO,update_queued,"Post ""Nashville Zoo Celebrates First Successful Breeding Of Glass Frogs"" update queued for Sumner County Source","Sumner County Source","{""success"":true,""message"":""Post queued for processing"",""data"":{""success"":true,""message"":""Post update queued for processing"",""job_id"":""hmlOfIxF4QLpRC4ME1VDEMGaBaIduqQg"",""status"":""processing""},""async"":true,""job_id"":""hmlOfIxF4QLpRC4ME1VDEMGaBaIduqQg""}"
"2026-04-21 14:46:48",INFO,wake_up,"Spoke site is already awake","Sumner County Source","{""connection_name"":""Sumner County Source"",""response_code"":200}"
"2026-04-21 14:46:48",INFO,wake_up,"Attempting to wake up spoke site","Sumner County Source","{""connection_name"":""Sumner County Source"",""url"":""https:\/\/sumnercountysource.com""}"
"2026-04-21 14:46:48",INFO,debug_content,"DEBUG: Final content being sent to spoke: There’s a new reason to visit the Nashville Zoo after a rare and exciting milestone behind the scenes.

The Nashville Zoo announced it has successfully bred reticulated glass frogs for the first time. Staff discovered a clutch of eggs in the frogs’ habitat and moved them to the zoo’s Amphibian Room for incubation.

After about five months developing as tadpoles, the first froglets are now beginning to emerge.

Glass frogs are known for their unique прозрачность, allowing ","Sumner County Source","{""connection_name"":""Sumner County Source"",""full_content_length"":1048}"
"2026-04-21 14:46:48",INFO,,"Custom Smart Links processing started for: Sumner County Source",-,[]
"2026-04-21 14:46:48",INFO,yoast_collect,"Collected Yoast data for ""Nashville Zoo Celebrates First Successful Breeding Of Glass Frogs"" to send to Sumner County Source","Sumner County Source","{""yoast_fields"":[""_yoast_wpseo_metadesc"",""_yoast_wpseo_focuskw""],""has_metadesc"":true,""has_focuskw"":true}"
"2026-04-21 14:46:48",INFO,gallery_sync,"No gallery images found in post content",-,[]
"2026-04-21 14:46:48",INFO,debug_content,"DEBUG: Original post content: There’s a new reason to visit the Nashville Zoo after a rare and exciting milestone behind the scenes.

The Nashville Zoo announced it has successfully bred reticulated glass frogs for the first time. Staff discovered a clutch of eggs in the frogs’ habitat and moved them to the zoo’s Amphibian Room for incubation.

After about five months developing as tadpoles, the first froglets are now beginning to emerge.

Glass frogs are known for their unique прозрачность, allowing ",-,"{""full_content_length"":997}"
"2026-04-21 14:46:48",INFO,update_queued,"Post ""Nashville Zoo Celebrates First Successful Breeding Of Glass Frogs"" update queued for Rutherford County Source","Rutherford County Source","{""success"":true,""message"":""Post queued for processing"",""data"":{""success"":true,""message"":""Post update queued for processing"",""job_id"":""awYnC5cL7gIIrW3b9yPBPKqKnmRiDXgN"",""status"":""processing""},""async"":true,""job_id"":""awYnC5cL7gIIrW3b9yPBPKqKnmRiDXgN""}"
"2026-04-21 14:46:48",INFO,wake_up,"Spoke site is already awake","Rutherford County Source","{""connection_name"":""Rutherford County Source"",""response_code"":200}"
"2026-04-21 14:46:48",INFO,wake_up,"Attempting to wake up spoke site","Rutherford County Source","{""connection_name"":""Rutherford County Source"",""url"":""https:\/\/rutherfordsource.com""}"
"2026-04-21 14:46:48",INFO,debug_content,"DEBUG: Final content being sent to spoke: There’s a new reason to visit the Nashville Zoo after a rare and exciting milestone behind the scenes.

The Nashville Zoo announced it has successfully bred reticulated glass frogs for the first time. Staff discovered a clutch of eggs in the frogs’ habitat and moved them to the zoo’s Amphibian Room for incubation.

After about five months developing as tadpoles, the first froglets are now beginning to emerge.

Glass frogs are known for their unique прозрачность, allowing ","Rutherford County Source","{""connection_name"":""Rutherford County Source"",""full_content_length"":1046}"
"2026-04-21 14:46:48",INFO,,"Custom Smart Links processing started for: Rutherford County Source",-,[]
"2026-04-21 14:46:48",INFO,yoast_collect,"Collected Yoast data for ""Nashville Zoo Celebrates First Successful Breeding Of Glass Frogs"" to send to Rutherford County Source","Rutherford County Source","{""yoast_fields"":[""_yoast_wpseo_metadesc"",""_yoast_wpseo_focuskw""],""has_metadesc"":true,""has_focuskw"":true}"
"2026-04-21 14:46:48",INFO,gallery_sync,"No gallery images found in post content",-,[]
"2026-04-21 14:46:48",INFO,debug_content,"DEBUG: Original post content: There’s a new reason to visit the Nashville Zoo after a rare and exciting milestone behind the scenes.

The Nashville Zoo announced it has successfully bred reticulated glass frogs for the first time. Staff discovered a clutch of eggs in the frogs’ habitat and moved them to the zoo’s Amphibian Room for incubation.

After about five months developing as tadpoles, the first froglets are now beginning to emerge.

Glass frogs are known for their unique прозрачность, allowing ",-,"{""full_content_length"":997}"
"2026-04-21 14:46:48",INFO,update_queued,"Post ""Nashville Zoo Celebrates First Successful Breeding Of Glass Frogs"" update queued for Robertson County Source","Robertson County Source","{""success"":true,""message"":""Post queued for processing"",""data"":{""success"":true,""message"":""Post update queued for processing"",""job_id"":""y8eDalySwiqtvDkejcIfNzxBGnm8nPJH"",""status"":""processing""},""async"":true,""job_id"":""y8eDalySwiqtvDkejcIfNzxBGnm8nPJH""}"
"2026-04-21 14:46:47",SUCCESS,sync_completed,"Sync completed: ""Nashville Zoo Celebrates First Successful Breeding Of Glass Frogs"" successfully synced to Dickson County Source","Dickson County Source","{""hub_post_id"":58882,""spoke_post_id"":53633,""job_id"":""SxFFZZh6hMD4dDKAPj99kyuLl4LTDj01""}"
"2026-04-21 14:46:47",INFO,wake_up,"Spoke site is already awake","Robertson County Source","{""connection_name"":""Robertson County Source"",""response_code"":200}"
"2026-04-21 14:46:47",INFO,wake_up,"Attempting to wake up spoke site","Robertson County Source","{""connection_name"":""Robertson County Source"",""url"":""https:\/\/robertsoncountysource.com""}"
"2026-04-21 14:46:47",INFO,debug_content,"DEBUG: Final content being sent to spoke: There’s a new reason to visit the Nashville Zoo after a rare and exciting milestone behind the scenes.

The Nashville Zoo announced it has successfully bred reticulated glass frogs for the first time. Staff discovered a clutch of eggs in the frogs’ habitat and moved them to the zoo’s Amphibian Room for incubation.

After about five months developing as tadpoles, the first froglets are now beginning to emerge.

Glass frogs are known for their unique прозрачность, allowing ","Robertson County Source","{""connection_name"":""Robertson County Source"",""full_content_length"":1051}"
"2026-04-21 14:46:47",INFO,,"Custom Smart Links processing started for: Robertson County Source",-,[]
"2026-04-21 14:46:47",INFO,yoast_collect,"Collected Yoast data for ""Nashville Zoo Celebrates First Successful Breeding Of Glass Frogs"" to send to Robertson County Source","Robertson County Source","{""yoast_fields"":[""_yoast_wpseo_metadesc"",""_yoast_wpseo_focuskw""],""has_metadesc"":true,""has_focuskw"":true}"
"2026-04-21 14:46:47",INFO,gallery_sync,"No gallery images found in post content",-,[]
"2026-04-21 14:46:47",INFO,debug_content,"DEBUG: Original post content: There’s a new reason to visit the Nashville Zoo after a rare and exciting milestone behind the scenes.

The Nashville Zoo announced it has successfully bred reticulated glass frogs for the first time. Staff discovered a clutch of eggs in the frogs’ habitat and moved them to the zoo’s Amphibian Room for incubation.

After about five months developing as tadpoles, the first froglets are now beginning to emerge.

Glass frogs are known for their unique прозрачность, allowing ",-,"{""full_content_length"":997}"
"2026-04-21 14:46:47",INFO,update_queued,"Post ""Nashville Zoo Celebrates First Successful Breeding Of Glass Frogs"" update queued for Maury County Source","Maury County Source","{""success"":true,""message"":""Post queued for processing"",""data"":{""success"":true,""message"":""Post update queued for processing"",""job_id"":""ux6j5ypQ0ygunYkeyjY0NyjBRnpwHIhP"",""status"":""processing""},""async"":true,""job_id"":""ux6j5ypQ0ygunYkeyjY0NyjBRnpwHIhP""}"
"2026-04-21 14:46:47",INFO,wake_up,"Spoke site is already awake","Maury County Source","{""connection_name"":""Maury County Source"",""response_code"":200}"
"2026-04-21 14:46:47",INFO,wake_up,"Attempting to wake up spoke site","Maury County Source","{""connection_name"":""Maury County Source"",""url"":""https:\/\/maurycountysource.com""}"
"2026-04-21 14:46:47",INFO,debug_content,"DEBUG: Final content being sent to spoke: There’s a new reason to visit the Nashville Zoo after a rare and exciting milestone behind the scenes.

The Nashville Zoo announced it has successfully bred reticulated glass frogs for the first time. Staff discovered a clutch of eggs in the frogs’ habitat and moved them to the zoo’s Amphibian Room for incubation.

After about five months developing as tadpoles, the first froglets are now beginning to emerge.

Glass frogs are known for their unique прозрачность, allowing ","Maury County Source","{""connection_name"":""Maury County Source"",""full_content_length"":1047}"
"2026-04-21 14:46:47",INFO,,"Custom Smart Links processing started for: Maury County Source",-,[]
"2026-04-21 14:46:47",INFO,yoast_collect,"Collected Yoast data for ""Nashville Zoo Celebrates First Successful Breeding Of Glass Frogs"" to send to Maury County Source","Maury County Source","{""yoast_fields"":[""_yoast_wpseo_metadesc"",""_yoast_wpseo_focuskw""],""has_metadesc"":true,""has_focuskw"":true}"
"2026-04-21 14:46:47",INFO,gallery_sync,"No gallery images found in post content",-,[]
"2026-04-21 14:46:47",INFO,debug_content,"DEBUG: Original post content: There’s a new reason to visit the Nashville Zoo after a rare and exciting milestone behind the scenes.

The Nashville Zoo announced it has successfully bred reticulated glass frogs for the first time. Staff discovered a clutch of eggs in the frogs’ habitat and moved them to the zoo’s Amphibian Room for incubation.

After about five months developing as tadpoles, the first froglets are now beginning to emerge.

Glass frogs are known for their unique прозрачность, allowing ",-,"{""full_content_length"":997}"
"2026-04-21 14:46:47",INFO,update_queued,"Post ""Nashville Zoo Celebrates First Successful Breeding Of Glass Frogs"" update queued for Dickson County Source","Dickson County Source","{""success"":true,""message"":""Post queued for processing"",""data"":{""success"":true,""message"":""Post update queued for processing"",""job_id"":""CipI4OJzn88tYgP6ZOvVjhHJmqUzNHDK"",""status"":""processing""},""async"":true,""job_id"":""CipI4OJzn88tYgP6ZOvVjhHJmqUzNHDK""}"
"2026-04-21 14:46:46",INFO,wake_up,"Spoke site is already awake","Dickson County Source","{""connection_name"":""Dickson County Source"",""response_code"":200}"
"2026-04-21 14:46:46",INFO,wake_up,"Attempting to wake up spoke site","Dickson County Source","{""connection_name"":""Dickson County Source"",""url"":""https:\/\/dicksoncountysource.com""}"
"2026-04-21 14:46:46",INFO,debug_content,"DEBUG: Final content being sent to spoke: There’s a new reason to visit the Nashville Zoo after a rare and exciting milestone behind the scenes.

The Nashville Zoo announced it has successfully bred reticulated glass frogs for the first time. Staff discovered a clutch of eggs in the frogs’ habitat and moved them to the zoo’s Amphibian Room for incubation.

After about five months developing as tadpoles, the first froglets are now beginning to emerge.

Glass frogs are known for their unique прозрачность, allowing ","Dickson County Source","{""connection_name"":""Dickson County Source"",""full_content_length"":1049}"
"2026-04-21 14:46:46",INFO,,"Custom Smart Links processing started for: Dickson County Source",-,[]
"2026-04-21 14:46:46",INFO,yoast_collect,"Collected Yoast data for ""Nashville Zoo Celebrates First Successful Breeding Of Glass Frogs"" to send to Dickson County Source","Dickson County Source","{""yoast_fields"":[""_yoast_wpseo_metadesc"",""_yoast_wpseo_focuskw""],""has_metadesc"":true,""has_focuskw"":true}"
"2026-04-21 14:46:46",INFO,gallery_sync,"No gallery images found in post content",-,[]
"2026-04-21 14:46:46",INFO,debug_content,"DEBUG: Original post content: There’s a new reason to visit the Nashville Zoo after a rare and exciting milestone behind the scenes.

The Nashville Zoo announced it has successfully bred reticulated glass frogs for the first time. Staff discovered a clutch of eggs in the frogs’ habitat and moved them to the zoo’s Amphibian Room for incubation.

After about five months developing as tadpoles, the first froglets are now beginning to emerge.

Glass frogs are known for their unique прозрачность, allowing ",-,"{""full_content_length"":997}"
"2026-04-21 14:46:46",INFO,update_queued,"Post ""Nashville Zoo Celebrates First Successful Breeding Of Glass Frogs"" update queued for Davidson County Source","Davidson County Source","{""success"":true,""message"":""Post queued for processing"",""data"":{""success"":true,""message"":""Post update queued for processing"",""job_id"":""Gr8Mrh2wNYHaElWUjDkvmZSMhRZ54cw3"",""status"":""processing""},""async"":true,""job_id"":""Gr8Mrh2wNYHaElWUjDkvmZSMhRZ54cw3""}"
"2026-04-21 14:46:46",INFO,wake_up,"Spoke site is already awake","Davidson County Source","{""connection_name"":""Davidson County Source"",""response_code"":200}"
"2026-04-21 14:46:46",INFO,wake_up,"Attempting to wake up spoke site","Davidson County Source","{""connection_name"":""Davidson County Source"",""url"":""https:\/\/davidsoncountysource.com""}"
"2026-04-21 14:46:46",INFO,debug_content,"DEBUG: Final content being sent to spoke: There’s a new reason to visit the Nashville Zoo after a rare and exciting milestone behind the scenes.

The Nashville Zoo announced it has successfully bred reticulated glass frogs for the first time. Staff discovered a clutch of eggs in the frogs’ habitat and moved them to the zoo’s Amphibian Room for incubation.

After about five months developing as tadpoles, the first froglets are now beginning to emerge.

Glass frogs are known for their unique прозрачность, allowing ","Davidson County Source","{""connection_name"":""Davidson County Source"",""full_content_length"":1050}"
"2026-04-21 14:46:46",INFO,,"Custom Smart Links processing started for: Davidson County Source",-,[]
"2026-04-21 14:46:46",INFO,yoast_collect,"Collected Yoast data for ""Nashville Zoo Celebrates First Successful Breeding Of Glass Frogs"" to send to Davidson County Source","Davidson County Source","{""yoast_fields"":[""_yoast_wpseo_metadesc"",""_yoast_wpseo_focuskw""],""has_metadesc"":true,""has_focuskw"":true}"
"2026-04-21 14:46:46",INFO,gallery_sync,"No gallery images found in post content",-,[]
"2026-04-21 14:46:46",INFO,debug_content,"DEBUG: Original post content: There’s a new reason to visit the Nashville Zoo after a rare and exciting milestone behind the scenes.

The Nashville Zoo announced it has successfully bred reticulated glass frogs for the first time. Staff discovered a clutch of eggs in the frogs’ habitat and moved them to the zoo’s Amphibian Room for incubation.

After about five months developing as tadpoles, the first froglets are now beginning to emerge.

Glass frogs are known for their unique прозрачность, allowing ",-,"{""full_content_length"":997}"
