Date,Status,Action,Message,Connection,Details
"2025-11-24 22:07:41",SUCCESS,set_featured_image,"Featured image set successfully",-,"{""attachment_id"":48699,""post_id"":48669}"
"2025-11-24 22:07:41",INFO,yoast_receive,"Received Yoast data from hub (2 fields)",-,"{""yoast_fields"":[""_yoast_wpseo_metadesc"",""_yoast_wpseo_focuskw""],""has_metadesc"":true,""has_focuskw"":true}"
"2025-11-24 22:07:41",SUCCESS,async_update,"Async update completed for ""Powerball Jackpot Reaches $654 Million for November 24 Drawing"" (9.64s)",-,"{""hub_id"":46754,""local_id"":true,""processing_time"":9.640145063400269,""job_id"":""TRA2i2GPqRKmacrOJ071IdM27xlKKlz2""}"
"2025-11-24 22:07:41",INFO,hub_notified,"Successfully notified hub of completion",-,"{""hub_url"":""https:\/\/hub2a.wpenginepowered.com"",""job_id"":""TRA2i2GPqRKmacrOJ071IdM27xlKKlz2"",""spoke_post_id"":true}"
"2025-11-24 22:07:31",INFO,hub_notified,"Successfully notified hub of completion",-,"{""hub_url"":""https:\/\/hub2a.wpenginepowered.com"",""job_id"":""4ZQbZscSm1LZSZeLUcVf30K5moegvEYn"",""spoke_post_id"":true}"
"2025-11-24 22:07:31",INFO,job_processing,"Job processing started: ""Powerball Jackpot Reaches $654 Million for November 24 Drawing""",-,"{""job_id"":""TRA2i2GPqRKmacrOJ071IdM27xlKKlz2"",""action"":""update"",""hub_id"":46754}"
"2025-11-24 22:07:31",INFO,find_author,"Found matching author by email: info@middletennesseesource.com",-,"{""matched_user_id"":21,""display_name"":""Source Staff""}"
"2025-11-24 22:07:30",SUCCESS,set_featured_image,"Featured image set successfully",-,"{""attachment_id"":48698,""post_id"":48669}"
"2025-11-24 22:07:30",INFO,yoast_receive,"Received Yoast data from hub (2 fields)",-,"{""yoast_fields"":[""_yoast_wpseo_metadesc"",""_yoast_wpseo_focuskw""],""has_metadesc"":true,""has_focuskw"":true}"
"2025-11-24 22:07:30",SUCCESS,async_update,"Async update completed for ""Powerball Jackpot Reaches $654 Million for November 24 Drawing"" (3.38s)",-,"{""hub_id"":46754,""local_id"":true,""processing_time"":3.384657144546509,""job_id"":""4ZQbZscSm1LZSZeLUcVf30K5moegvEYn""}"
