Date,Status,Action,Message,Connection,Details
"2026-03-24 20:34:10",INFO,hub_notified,"Successfully notified hub of completion",-,"{""hub_url"":""https:\/\/hub2a.wpenginepowered.com"",""job_id"":""KX8iig0BNLvr3eYLmnO6XjWbZJdvsKdA"",""spoke_post_id"":52401}"
"2026-03-24 20:34:10",INFO,job_processing,"Job processing started: ""FBI Nashville Warns About Cybercriminal Activity Targeting the Music Industry""",-,"{""job_id"":""PzE3PTMkYtZHIFs9gZhjOMY6OApT4bvE"",""action"":""update"",""hub_id"":54204}"
"2026-03-24 20:34:10",INFO,find_author,"Found matching author by email: info@middletennesseesource.com",-,"{""matched_user_id"":21,""display_name"":""Source Staff""}"
"2026-03-24 20:34:10",INFO,yoast_receive,"Received Yoast data from hub (2 fields)",-,"{""yoast_fields"":[""_yoast_wpseo_metadesc"",""_yoast_wpseo_focuskw""],""has_metadesc"":true,""has_focuskw"":true}"
"2026-03-24 20:34:10",SUCCESS,async_update,"Async update completed for ""FBI Nashville Warns About Cybercriminal Activity Targeting the Music Industry"" (0.52s)",-,"{""hub_id"":54204,""local_id"":52401,""processing_time"":0.5179958343505859,""job_id"":""PzE3PTMkYtZHIFs9gZhjOMY6OApT4bvE""}"
"2026-03-24 20:34:10",INFO,hub_notified,"Successfully notified hub of completion",-,"{""hub_url"":""https:\/\/hub2a.wpenginepowered.com"",""job_id"":""PzE3PTMkYtZHIFs9gZhjOMY6OApT4bvE"",""spoke_post_id"":52401}"
"2026-03-24 20:34:09",INFO,yoast_receive,"Received Yoast data from hub (2 fields)",-,"{""yoast_fields"":[""_yoast_wpseo_metadesc"",""_yoast_wpseo_focuskw""],""has_metadesc"":true,""has_focuskw"":true}"
"2026-03-24 20:34:09",SUCCESS,async_update,"Async update completed for ""FBI Nashville Warns About Cybercriminal Activity Targeting the Music Industry"" (1.66s)",-,"{""hub_id"":54204,""local_id"":52401,""processing_time"":1.655663013458252,""job_id"":""KX8iig0BNLvr3eYLmnO6XjWbZJdvsKdA""}"
"2026-03-24 20:34:08",INFO,job_processing,"Job processing started: ""FBI Nashville Warns About Cybercriminal Activity Targeting the Music Industry""",-,"{""job_id"":""KX8iig0BNLvr3eYLmnO6XjWbZJdvsKdA"",""action"":""update"",""hub_id"":54204}"
"2026-03-24 20:34:08",INFO,find_author,"Found matching author by email: info@middletennesseesource.com",-,"{""matched_user_id"":21,""display_name"":""Source Staff""}"
