Date,Status,Action,Message,Connection,Details
"2026-03-24 23:37:48",INFO,receive_request,"Received syndication request from hub",-,"{""hub_url"":""https:\/\/hub2a.wpenginepowered.com"",""hub_id"":54188,""title"":""When Minutes Matter, Access to Emergency Care Matters""}"
"2026-03-24 23:37:48",INFO,duplicate_prevented,"Duplicate prevented: ""When Minutes Matter, Access to Emergency Care Matters"" already exists (retry detected)",-,"{""hub_id"":54188,""local_id"":463806,""hub_url"":""https:\/\/hub2a.wpenginepowered.com""}"
"2026-03-24 23:37:46",INFO,receive_request,"Received syndication request from hub",-,"{""hub_url"":""https:\/\/hub2a.wpenginepowered.com"",""hub_id"":54188,""title"":""When Minutes Matter, Access to Emergency Care Matters""}"
"2026-03-24 23:37:46",INFO,duplicate_prevented,"Duplicate prevented: ""When Minutes Matter, Access to Emergency Care Matters"" already exists (retry detected)",-,"{""hub_id"":54188,""local_id"":463806,""hub_url"":""https:\/\/hub2a.wpenginepowered.com""}"
"2026-03-24 22:33:59",INFO,receive_request,"Received syndication request from hub",-,"{""hub_url"":""https:\/\/hub2a.wpenginepowered.com"",""hub_id"":54188,""title"":""When Minutes Matter, Access to Emergency Care Matters""}"
"2026-03-24 22:33:59",INFO,duplicate_prevented,"Duplicate prevented: ""When Minutes Matter, Access to Emergency Care Matters"" already exists (retry detected)",-,"{""hub_id"":54188,""local_id"":463806,""hub_url"":""https:\/\/hub2a.wpenginepowered.com""}"
"2026-03-24 22:33:57",INFO,receive_request,"Received syndication request from hub",-,"{""hub_url"":""https:\/\/hub2a.wpenginepowered.com"",""hub_id"":54188,""title"":""When Minutes Matter, Access to Emergency Care Matters""}"
"2026-03-24 22:33:57",INFO,duplicate_prevented,"Duplicate prevented: ""When Minutes Matter, Access to Emergency Care Matters"" already exists (retry detected)",-,"{""hub_id"":54188,""local_id"":463806,""hub_url"":""https:\/\/hub2a.wpenginepowered.com""}"
"2026-03-24 21:39:20",INFO,hub_notified,"Successfully notified hub of completion",-,"{""hub_url"":""https:\/\/hub2a.wpenginepowered.com"",""job_id"":""bJrHvoHy4o5looYUFAFd5KpzKWIoVzxt"",""spoke_post_id"":463813}"
"2026-03-24 21:39:19",INFO,yoast_receive,"Received Yoast data from hub (2 fields)",-,"{""yoast_fields"":[""_yoast_wpseo_metadesc"",""_yoast_wpseo_focuskw""],""has_metadesc"":true,""has_focuskw"":true}"
"2026-03-24 21:39:19",INFO,yoast_update,"Updated Yoast SEO meta fields: _yoast_wpseo_metadesc, _yoast_wpseo_focuskw",-,"{""fields"":[""_yoast_wpseo_metadesc"",""_yoast_wpseo_focuskw""]}"
"2026-03-24 21:39:19",SUCCESS,async_update,"Async update completed for ""Firefighters Rescue Injured Bird In La Vergne"" (2.69s)",-,"{""hub_id"":54221,""local_id"":463813,""processing_time"":2.6915578842163086,""job_id"":""bJrHvoHy4o5looYUFAFd5KpzKWIoVzxt""}"
"2026-03-24 21:39:17",INFO,hub_notified,"Successfully notified hub of completion",-,"{""hub_url"":""https:\/\/hub2a.wpenginepowered.com"",""job_id"":""Zr36kRU6rNCjxuxO1heuEZOvOA8Q2ABh"",""spoke_post_id"":463813}"
"2026-03-24 21:39:17",INFO,job_processing,"Job processing started: ""Firefighters Rescue Injured Bird In La Vergne""",-,"{""job_id"":""bJrHvoHy4o5looYUFAFd5KpzKWIoVzxt"",""action"":""update"",""hub_id"":54221}"
"2026-03-24 21:39:17",INFO,find_author,"Found matching author by email: info@middletennesseesource.com",-,"{""matched_user_id"":62,""display_name"":""Source Staff""}"
"2026-03-24 21:39:16",SUCCESS,set_featured_image,"Featured image set successfully",-,"{""attachment_id"":463814,""post_id"":463813}"
"2026-03-24 21:39:16",INFO,yoast_receive,"Received Yoast data from hub (2 fields)",-,"{""yoast_fields"":[""_yoast_wpseo_metadesc"",""_yoast_wpseo_focuskw""],""has_metadesc"":true,""has_focuskw"":true}"
"2026-03-24 21:39:16",INFO,yoast_update,"Updated Yoast SEO meta fields: _yoast_wpseo_metadesc, _yoast_wpseo_focuskw",-,"{""fields"":[""_yoast_wpseo_metadesc"",""_yoast_wpseo_focuskw""]}"
"2026-03-24 21:39:16",SUCCESS,async_update,"Async update completed for ""Firefighters Rescue Injured Bird In La Vergne"" (6.18s)",-,"{""hub_id"":54221,""local_id"":463813,""processing_time"":6.178126811981201,""job_id"":""Zr36kRU6rNCjxuxO1heuEZOvOA8Q2ABh""}"
"2026-03-24 21:39:10",INFO,job_processing,"Job processing started: ""Firefighters Rescue Injured Bird In La Vergne""",-,"{""job_id"":""Zr36kRU6rNCjxuxO1heuEZOvOA8Q2ABh"",""action"":""update"",""hub_id"":54221}"
"2026-03-24 21:39:10",INFO,find_author,"Found matching author by email: info@middletennesseesource.com",-,"{""matched_user_id"":62,""display_name"":""Source Staff""}"
"2026-03-24 21:38:56",INFO,job_queued,"Update job queued for processing: ""Firefighters Rescue Injured Bird In La Vergne""",-,"{""job_id"":""bJrHvoHy4o5looYUFAFd5KpzKWIoVzxt"",""hub_id"":54221,""hub_url"":""https:\/\/hub2a.wpenginepowered.com"",""action"":""update""}"
"2026-03-24 21:38:53",INFO,job_queued,"Update job queued for processing: ""Firefighters Rescue Injured Bird In La Vergne""",-,"{""job_id"":""Zr36kRU6rNCjxuxO1heuEZOvOA8Q2ABh"",""hub_id"":54221,""hub_url"":""https:\/\/hub2a.wpenginepowered.com"",""action"":""update""}"
"2026-03-24 21:38:43",INFO,hub_notified,"Successfully notified hub of completion",-,"{""hub_url"":""https:\/\/hub2a.wpenginepowered.com"",""job_id"":""JGosCgAZAVltVJEsxF9QwZB0vXlhreQo"",""spoke_post_id"":463813}"
"2026-03-24 21:38:42",INFO,job_processing,"Job processing started: ""Firefighters Rescue Injured Bird In La Vergne""",-,"{""job_id"":""JGosCgAZAVltVJEsxF9QwZB0vXlhreQo"",""action"":""create"",""hub_id"":54221}"
"2026-03-24 21:38:42",INFO,debug_content,"DEBUG: Content received from hub: A call for help in a La Vergne neighborhood took an unusual turn as firefighters assisted not a person, but a bird in distress.

La Vergne Fire Rescue responded to reports of a bird stuck in a tree, where crews found the animal unable to free itself due to an apparent leg injury that kept it from flying. Truck 41 was able to safely retrieve the bird from the tree.

Firefighters then turned the bird over to the homeowner, who will coordinate with the Tennessee Wildlife Resources Agency to ens",-,"{""full_content_length"":809}"
"2026-03-24 21:38:42",INFO,find_author,"Found matching author by email: info@middletennesseesource.com",-,"{""matched_user_id"":62,""display_name"":""Source Staff""}"
"2026-03-24 21:38:42",INFO,gallery_sync,"No gallery_images found in syndication data",-,[]
"2026-03-24 21:38:42",INFO,yoast_sync,"Post created as draft, now updating with Yoast meta",-,"{""post_id"":463813,""intended_status"":""draft""}"
"2026-03-24 21:38:42",INFO,find_author,"Found matching author by email: info@middletennesseesource.com",-,"{""matched_user_id"":62,""display_name"":""Source Staff""}"
"2026-03-24 21:38:42",SUCCESS,yoast_sync,"Post updated with Yoast meta as draft",-,"{""post_id"":463813}"
"2026-03-24 21:38:42",SUCCESS,async_create,"Async create completed for ""Firefighters Rescue Injured Bird In La Vergne"" (0.15s)",-,"{""hub_id"":54221,""local_id"":463813,""processing_time"":0.1543419361114502,""job_id"":""JGosCgAZAVltVJEsxF9QwZB0vXlhreQo""}"
"2026-03-24 21:38:24",INFO,receive_request,"Received syndication request from hub",-,"{""hub_url"":""https:\/\/hub2a.wpenginepowered.com"",""hub_id"":54221,""title"":""Firefighters Rescue Injured Bird In La Vergne""}"
"2026-03-24 21:38:24",INFO,job_queued,"Job queued for processing: ""Firefighters Rescue Injured Bird In La Vergne""",-,"{""job_id"":""JGosCgAZAVltVJEsxF9QwZB0vXlhreQo"",""hub_id"":54221,""hub_url"":""https:\/\/hub2a.wpenginepowered.com"",""action"":""create""}"
"2026-03-24 21:33:47",INFO,receive_request,"Received syndication request from hub",-,"{""hub_url"":""https:\/\/hub2a.wpenginepowered.com"",""hub_id"":54188,""title"":""When Minutes Matter, Access to Emergency Care Matters""}"
"2026-03-24 21:33:47",INFO,duplicate_prevented,"Duplicate prevented: ""When Minutes Matter, Access to Emergency Care Matters"" already exists (retry detected)",-,"{""hub_id"":54188,""local_id"":463806,""hub_url"":""https:\/\/hub2a.wpenginepowered.com""}"
"2026-03-24 21:33:45",INFO,receive_request,"Received syndication request from hub",-,"{""hub_url"":""https:\/\/hub2a.wpenginepowered.com"",""hub_id"":54188,""title"":""When Minutes Matter, Access to Emergency Care Matters""}"
"2026-03-24 21:33:45",INFO,duplicate_prevented,"Duplicate prevented: ""When Minutes Matter, Access to Emergency Care Matters"" already exists (retry detected)",-,"{""hub_id"":54188,""local_id"":463806,""hub_url"":""https:\/\/hub2a.wpenginepowered.com""}"
"2026-03-24 20:33:50",INFO,receive_request,"Received syndication request from hub",-,"{""hub_url"":""https:\/\/hub2a.wpenginepowered.com"",""hub_id"":54188,""title"":""When Minutes Matter, Access to Emergency Care Matters""}"
"2026-03-24 20:33:50",INFO,duplicate_prevented,"Duplicate prevented: ""When Minutes Matter, Access to Emergency Care Matters"" already exists (retry detected)",-,"{""hub_id"":54188,""local_id"":463806,""hub_url"":""https:\/\/hub2a.wpenginepowered.com""}"
"2026-03-24 20:33:47",INFO,receive_request,"Received syndication request from hub",-,"{""hub_url"":""https:\/\/hub2a.wpenginepowered.com"",""hub_id"":54188,""title"":""When Minutes Matter, Access to Emergency Care Matters""}"
"2026-03-24 20:33:47",INFO,duplicate_prevented,"Duplicate prevented: ""When Minutes Matter, Access to Emergency Care Matters"" already exists (retry detected)",-,"{""hub_id"":54188,""local_id"":463806,""hub_url"":""https:\/\/hub2a.wpenginepowered.com""}"
"2026-03-24 20:15:11",INFO,hub_notified,"Successfully notified hub of completion",-,"{""hub_url"":""https:\/\/hub2a.wpenginepowered.com"",""job_id"":""xrYSra2xfmqgD7QLquakqdRZPfuEnOnZ"",""spoke_post_id"":463810}"
"2026-03-24 20:15:10",SUCCESS,set_featured_image,"Featured image set successfully",-,"{""attachment_id"":463811,""post_id"":463810}"
"2026-03-24 20:15:10",INFO,yoast_receive,"Received Yoast data from hub (2 fields)",-,"{""yoast_fields"":[""_yoast_wpseo_metadesc"",""_yoast_wpseo_focuskw""],""has_metadesc"":true,""has_focuskw"":true}"
"2026-03-24 20:15:10",INFO,yoast_update,"Updated Yoast SEO meta fields: _yoast_wpseo_metadesc, _yoast_wpseo_focuskw",-,"{""fields"":[""_yoast_wpseo_metadesc"",""_yoast_wpseo_focuskw""]}"
"2026-03-24 20:15:10",SUCCESS,async_update,"Async update completed for ""FBI Nashville Warns About Cybercriminal Activity Targeting the Music Industry"" (1.48s)",-,"{""hub_id"":54204,""local_id"":463810,""processing_time"":1.4832351207733154,""job_id"":""9iH7UIDK4kQxrJzItQSRozMmgCVuM9UT""}"
"2026-03-24 20:15:10",INFO,hub_notified,"Successfully notified hub of completion",-,"{""hub_url"":""https:\/\/hub2a.wpenginepowered.com"",""job_id"":""9iH7UIDK4kQxrJzItQSRozMmgCVuM9UT"",""spoke_post_id"":463810}"
"2026-03-24 20:15:10",INFO,job_processing,"Job processing started: ""FBI Nashville Warns About Cybercriminal Activity Targeting the Music Industry""",-,"{""job_id"":""xrYSra2xfmqgD7QLquakqdRZPfuEnOnZ"",""action"":""update"",""hub_id"":54204}"
"2026-03-24 20:15:10",INFO,find_author,"Found matching author by email: info@middletennesseesource.com",-,"{""matched_user_id"":62,""display_name"":""Source Staff""}"
"2026-03-24 20:15:10",INFO,yoast_receive,"Received Yoast data from hub (2 fields)",-,"{""yoast_fields"":[""_yoast_wpseo_metadesc"",""_yoast_wpseo_focuskw""],""has_metadesc"":true,""has_focuskw"":true}"
"2026-03-24 20:15:10",INFO,yoast_update,"Updated Yoast SEO meta fields: _yoast_wpseo_metadesc, _yoast_wpseo_focuskw",-,"{""fields"":[""_yoast_wpseo_metadesc"",""_yoast_wpseo_focuskw""]}"
"2026-03-24 20:15:10",SUCCESS,async_update,"Async update completed for ""FBI Nashville Warns About Cybercriminal Activity Targeting the Music Industry"" (0.06s)",-,"{""hub_id"":54204,""local_id"":463810,""processing_time"":0.05700087547302246,""job_id"":""xrYSra2xfmqgD7QLquakqdRZPfuEnOnZ""}"
"2026-03-24 20:15:09",INFO,job_processing,"Job processing started: ""FBI Nashville Warns About Cybercriminal Activity Targeting the Music Industry""",-,"{""job_id"":""9iH7UIDK4kQxrJzItQSRozMmgCVuM9UT"",""action"":""update"",""hub_id"":54204}"
"2026-03-24 20:15:09",INFO,find_author,"Found matching author by email: info@middletennesseesource.com",-,"{""matched_user_id"":62,""display_name"":""Source Staff""}"
"2026-03-24 20:14:44",INFO,job_queued,"Update job queued for processing: ""FBI Nashville Warns About Cybercriminal Activity Targeting the Music Industry""",-,"{""job_id"":""xrYSra2xfmqgD7QLquakqdRZPfuEnOnZ"",""hub_id"":54204,""hub_url"":""https:\/\/hub2a.wpenginepowered.com"",""action"":""update""}"
"2026-03-24 20:14:18",INFO,job_queued,"Update job queued for processing: ""FBI Nashville Warns About Cybercriminal Activity Targeting the Music Industry""",-,"{""job_id"":""9iH7UIDK4kQxrJzItQSRozMmgCVuM9UT"",""hub_id"":54204,""hub_url"":""https:\/\/hub2a.wpenginepowered.com"",""action"":""update""}"
"2026-03-24 20:12:43",INFO,job_processing,"Job processing started: ""FBI Nashville Warns About Cybercriminal Activity Targeting the Music Industry""",-,"{""job_id"":""pWEkmdAbE2u8Vy6yVMdwGVnCYkrAJuJ7"",""action"":""create"",""hub_id"":54204}"
"2026-03-24 20:12:43",INFO,debug_content,"DEBUG: Content received from hub: <div class=""mosaic-tile movable removable mosaic-IRichText-text-tile press-releasetext"">
<div class=""mosaic-tile-content"">
<div class="""">

The Nashville Division of the Federal Bureau of Investigation is raising awareness about criminal and cybercriminal activity targeting the music industry and sharing information and threat intelligence with Tennesseans to combat cybercrime.

“A review of complaints submitted to the FBI’s Internet Crime Complaint Center (IC3), along with our pending ",-,"{""full_content_length"":8525}"
"2026-03-24 20:12:43",INFO,find_author,"Found matching author by email: info@middletennesseesource.com",-,"{""matched_user_id"":62,""display_name"":""Source Staff""}"
"2026-03-24 20:12:43",INFO,gallery_sync,"No gallery_images found in syndication data",-,[]
"2026-03-24 20:12:43",INFO,yoast_sync,"Post created as draft, now updating with Yoast meta",-,"{""post_id"":463810,""intended_status"":""draft""}"
"2026-03-24 20:12:43",INFO,find_author,"Found matching author by email: info@middletennesseesource.com",-,"{""matched_user_id"":62,""display_name"":""Source Staff""}"
"2026-03-24 20:12:43",SUCCESS,yoast_sync,"Post updated with Yoast meta as draft",-,"{""post_id"":463810}"
"2026-03-24 20:12:43",SUCCESS,async_create,"Async create completed for ""FBI Nashville Warns About Cybercriminal Activity Targeting the Music Industry"" (0.16s)",-,"{""hub_id"":54204,""local_id"":463810,""processing_time"":0.15618181228637695,""job_id"":""pWEkmdAbE2u8Vy6yVMdwGVnCYkrAJuJ7""}"
"2026-03-24 20:12:43",INFO,hub_notified,"Successfully notified hub of completion",-,"{""hub_url"":""https:\/\/hub2a.wpenginepowered.com"",""job_id"":""pWEkmdAbE2u8Vy6yVMdwGVnCYkrAJuJ7"",""spoke_post_id"":463810}"
"2026-03-24 20:11:44",INFO,receive_request,"Received syndication request from hub",-,"{""hub_url"":""https:\/\/hub2a.wpenginepowered.com"",""hub_id"":54204,""title"":""FBI Nashville Warns About Cybercriminal Activity Targeting the Music Industry""}"
"2026-03-24 20:11:44",INFO,job_queued,"Job queued for processing: ""FBI Nashville Warns About Cybercriminal Activity Targeting the Music Industry""",-,"{""job_id"":""pWEkmdAbE2u8Vy6yVMdwGVnCYkrAJuJ7"",""hub_id"":54204,""hub_url"":""https:\/\/hub2a.wpenginepowered.com"",""action"":""create""}"
"2026-03-24 19:48:47",INFO,hub_notified,"Successfully notified hub of completion",-,"{""hub_url"":""https:\/\/hub2a.wpenginepowered.com"",""job_id"":""yIAoCVwND1m7uGqi99SIPaabgeut1lYZ"",""spoke_post_id"":463808}"
"2026-03-24 19:48:47",INFO,job_processing,"Job processing started: ""Small Fire Quickly Contained At Siegel High School""",-,"{""job_id"":""IkZ4DDEukSgoootGOFhxww7vaeK5BGPY"",""action"":""update"",""hub_id"":54198}"
"2026-03-24 19:48:47",INFO,find_author,"Found matching author by email: morgan.mitchell@middletennesseesource.com",-,"{""matched_user_id"":70,""display_name"":""Morgan Mitchell""}"
"2026-03-24 19:48:47",INFO,yoast_receive,"Received Yoast data from hub (2 fields)",-,"{""yoast_fields"":[""_yoast_wpseo_metadesc"",""_yoast_wpseo_focuskw""],""has_metadesc"":true,""has_focuskw"":true}"
"2026-03-24 19:48:47",INFO,yoast_update,"Updated Yoast SEO meta fields: _yoast_wpseo_metadesc, _yoast_wpseo_focuskw",-,"{""fields"":[""_yoast_wpseo_metadesc"",""_yoast_wpseo_focuskw""]}"
"2026-03-24 19:48:47",SUCCESS,async_update,"Async update completed for ""Small Fire Quickly Contained At Siegel High School"" (0.08s)",-,"{""hub_id"":54198,""local_id"":463808,""processing_time"":0.0771791934967041,""job_id"":""IkZ4DDEukSgoootGOFhxww7vaeK5BGPY""}"
"2026-03-24 19:48:47",INFO,hub_notified,"Successfully notified hub of completion",-,"{""hub_url"":""https:\/\/hub2a.wpenginepowered.com"",""job_id"":""IkZ4DDEukSgoootGOFhxww7vaeK5BGPY"",""spoke_post_id"":463808}"
"2026-03-24 19:48:46",SUCCESS,set_featured_image,"Featured image set successfully",-,"{""attachment_id"":463809,""post_id"":463808}"
"2026-03-24 19:48:46",INFO,yoast_receive,"Received Yoast data from hub (2 fields)",-,"{""yoast_fields"":[""_yoast_wpseo_metadesc"",""_yoast_wpseo_focuskw""],""has_metadesc"":true,""has_focuskw"":true}"
"2026-03-24 19:48:46",INFO,yoast_update,"Updated Yoast SEO meta fields: _yoast_wpseo_metadesc, _yoast_wpseo_focuskw",-,"{""fields"":[""_yoast_wpseo_metadesc"",""_yoast_wpseo_focuskw""]}"
"2026-03-24 19:48:46",SUCCESS,async_update,"Async update completed for ""Small Fire Quickly Contained At Siegel High School"" (1.85s)",-,"{""hub_id"":54198,""local_id"":463808,""processing_time"":1.8471500873565674,""job_id"":""yIAoCVwND1m7uGqi99SIPaabgeut1lYZ""}"
"2026-03-24 19:48:45",INFO,job_processing,"Job processing started: ""Small Fire Quickly Contained At Siegel High School""",-,"{""job_id"":""yIAoCVwND1m7uGqi99SIPaabgeut1lYZ"",""action"":""update"",""hub_id"":54198}"
"2026-03-24 19:48:45",INFO,find_author,"Found matching author by email: morgan.mitchell@middletennesseesource.com",-,"{""matched_user_id"":70,""display_name"":""Morgan Mitchell""}"
"2026-03-24 19:48:37",INFO,job_queued,"Update job queued for processing: ""Small Fire Quickly Contained At Siegel High School""",-,"{""job_id"":""IkZ4DDEukSgoootGOFhxww7vaeK5BGPY"",""hub_id"":54198,""hub_url"":""https:\/\/hub2a.wpenginepowered.com"",""action"":""update""}"
"2026-03-24 19:48:34",INFO,job_queued,"Update job queued for processing: ""Small Fire Quickly Contained At Siegel High School""",-,"{""job_id"":""yIAoCVwND1m7uGqi99SIPaabgeut1lYZ"",""hub_id"":54198,""hub_url"":""https:\/\/hub2a.wpenginepowered.com"",""action"":""update""}"
"2026-03-24 19:48:22",INFO,hub_notified,"Successfully notified hub of completion",-,"{""hub_url"":""https:\/\/hub2a.wpenginepowered.com"",""job_id"":""URTcQF1a4d13taSqBDHRRywn6tlaMEqn"",""spoke_post_id"":463808}"
"2026-03-24 19:48:21",INFO,job_processing,"Job processing started: ""Small Fire Quickly Contained At Siegel High School""",-,"{""job_id"":""URTcQF1a4d13taSqBDHRRywn6tlaMEqn"",""action"":""create"",""hub_id"":54198}"
"2026-03-24 19:48:21",INFO,debug_content,"DEBUG: Content received from hub: A small fire inside a Murfreesboro high school auditorium was quickly brought under control, allowing classes to continue as normal.

According to Murfreesboro Fire Rescue Department, crews responded to Siegel High School after a fire was reported in the auditorium. By the time firefighters arrived, the fire had already been extinguished.

Engine 7 and Rescue 4 ventilated the building to remove smoke from the area. Officials reported no injuries.

<a href=""https://rutherfordsource.com/News",-,"{""full_content_length"":637}"
"2026-03-24 19:48:21",INFO,find_author,"Found matching author by email: morgan.mitchell@middletennesseesource.com",-,"{""matched_user_id"":70,""display_name"":""Morgan Mitchell""}"
"2026-03-24 19:48:21",INFO,gallery_sync,"No gallery_images found in syndication data",-,[]
"2026-03-24 19:48:21",INFO,yoast_sync,"Post created as draft, now updating with Yoast meta",-,"{""post_id"":463808,""intended_status"":""draft""}"
"2026-03-24 19:48:21",INFO,find_author,"Found matching author by email: morgan.mitchell@middletennesseesource.com",-,"{""matched_user_id"":70,""display_name"":""Morgan Mitchell""}"
"2026-03-24 19:48:21",SUCCESS,yoast_sync,"Post updated with Yoast meta as draft",-,"{""post_id"":463808}"
"2026-03-24 19:48:21",SUCCESS,async_create,"Async create completed for ""Small Fire Quickly Contained At Siegel High School"" (0.28s)",-,"{""hub_id"":54198,""local_id"":463808,""processing_time"":0.2751939296722412,""job_id"":""URTcQF1a4d13taSqBDHRRywn6tlaMEqn""}"
"2026-03-24 19:48:16",INFO,receive_request,"Received syndication request from hub",-,"{""hub_url"":""https:\/\/hub2a.wpenginepowered.com"",""hub_id"":54198,""title"":""Small Fire Quickly Contained At Siegel High School""}"
"2026-03-24 19:48:16",INFO,job_queued,"Job queued for processing: ""Small Fire Quickly Contained At Siegel High School""",-,"{""job_id"":""URTcQF1a4d13taSqBDHRRywn6tlaMEqn"",""hub_id"":54198,""hub_url"":""https:\/\/hub2a.wpenginepowered.com"",""action"":""create""}"
"2026-03-24 19:34:46",INFO,receive_request,"Received syndication request from hub",-,"{""hub_url"":""https:\/\/hub2a.wpenginepowered.com"",""hub_id"":54188,""title"":""When Minutes Matter, Access to Emergency Care Matters""}"
"2026-03-24 19:34:46",INFO,duplicate_prevented,"Duplicate prevented: ""When Minutes Matter, Access to Emergency Care Matters"" already exists (retry detected)",-,"{""hub_id"":54188,""local_id"":463806,""hub_url"":""https:\/\/hub2a.wpenginepowered.com""}"
"2026-03-24 19:34:44",INFO,receive_request,"Received syndication request from hub",-,"{""hub_url"":""https:\/\/hub2a.wpenginepowered.com"",""hub_id"":54188,""title"":""When Minutes Matter, Access to Emergency Care Matters""}"
"2026-03-24 19:34:44",INFO,duplicate_prevented,"Duplicate prevented: ""When Minutes Matter, Access to Emergency Care Matters"" already exists (retry detected)",-,"{""hub_id"":54188,""local_id"":463806,""hub_url"":""https:\/\/hub2a.wpenginepowered.com""}"
