Date,Status,Action,Message,Connection,Details
"2026-03-03 19:17:09",INFO,hub_notified,"Successfully notified hub of completion",-,"{""hub_url"":""http:\/\/hub-primary.local"",""job_id"":""JJQOJgkzlqPo74bqwpabqrmKzDawvAmc"",""spoke_post_id"":167}"
"2026-03-03 19:17:08",INFO,job_processing,"Job processing started: ""error test 5""",-,"{""job_id"":""JJQOJgkzlqPo74bqwpabqrmKzDawvAmc"",""action"":""create"",""hub_id"":930}"
"2026-03-03 19:17:08",INFO,debug_content,"DEBUG: Content received from hub: error test 5error test 5error test 5error test 5

error test 5error test 5error test 5error test 5

error test 5error test 5error test 5error test 5

error test 5error test 5error test 5error test 5

error test 5error test 5error test 5error test 5

error test 5error test 5error test 5error test 5",-,"{""full_content_length"":308}"
"2026-03-03 19:17:08",INFO,find_author,"Found matching author by email: dev-email@wpengine.local",-,"{""matched_user_id"":1,""display_name"":""root""}"
"2026-03-03 19:17:08",INFO,gallery_sync,"No gallery_images found in syndication data",-,[]
"2026-03-03 19:17:08",INFO,yoast_sync,"Post created as draft, now updating with Yoast meta",-,"{""post_id"":167,""intended_status"":""draft""}"
"2026-03-03 19:17:08",INFO,find_author,"Found matching author by email: dev-email@wpengine.local",-,"{""matched_user_id"":1,""display_name"":""root""}"
"2026-03-03 19:17:08",SUCCESS,yoast_sync,"Post updated with Yoast meta as draft",-,"{""post_id"":167}"
"2026-03-03 19:17:08",SUCCESS,async_create,"Async create completed for ""error test 5"" (0.02s)",-,"{""hub_id"":930,""local_id"":167,""processing_time"":0.024742841720581055,""job_id"":""JJQOJgkzlqPo74bqwpabqrmKzDawvAmc""}"
"2026-03-03 19:16:07",INFO,job_queued,"Job queued for processing: ""error test 5""",-,"{""job_id"":""JJQOJgkzlqPo74bqwpabqrmKzDawvAmc"",""hub_id"":930,""hub_url"":""http:\/\/hub-primary.local"",""action"":""create""}"
"2026-03-03 19:16:06",INFO,receive_request,"Received syndication request from hub",-,"{""hub_url"":""http:\/\/hub-primary.local"",""hub_id"":930,""title"":""error test 5""}"
