Date,Status,Action,Message,Connection,Details
"2025-11-19 15:21:56",INFO,hub_notified,"Successfully notified hub of completion",-,"{""hub_url"":""https:\/\/hub2a.wpenginepowered.com"",""job_id"":""fJg7ZeROlQ1HjWodMJgTCgxcvmo2K5QJ"",""spoke_post_id"":true}"
"2025-11-19 15:21:55",SUCCESS,async_update,"Async update completed for ""Morning test 4"" (11.75s)",-,"{""hub_id"":46665,""local_id"":true,""processing_time"":11.745995998382568,""job_id"":""fJg7ZeROlQ1HjWodMJgTCgxcvmo2K5QJ""}"
"2025-11-19 15:21:55",INFO,yoast_receive,"Received Yoast data from hub (2 fields)",-,"{""yoast_fields"":[""_yoast_wpseo_metadesc"",""_yoast_wpseo_focuskw""],""has_metadesc"":true,""has_focuskw"":true}"
"2025-11-19 15:21:55",SUCCESS,set_featured_image,"Featured image set successfully",-,"{""attachment_id"":46577,""post_id"":46573}"
"2025-11-19 15:21:44",INFO,find_author,"Found matching author by email: mike@manovermachine.com",-,"{""matched_user_id"":38,""display_name"":""manovermachine""}"
"2025-11-19 15:21:44",INFO,job_processing,"Job processing started: ""Morning test 4""",-,"{""job_id"":""fJg7ZeROlQ1HjWodMJgTCgxcvmo2K5QJ"",""action"":""update"",""hub_id"":46665}"
"2025-11-19 15:21:41",INFO,hub_notified,"Successfully notified hub of completion",-,"{""hub_url"":""https:\/\/hub2a.wpenginepowered.com"",""job_id"":""RmZjNgoK6xq7ey40ux2R1sxvYbp9ZDXI"",""spoke_post_id"":true}"
"2025-11-19 15:21:41",SUCCESS,async_update,"Async update completed for ""Morning test 4"" (21.32s)",-,"{""hub_id"":46665,""local_id"":true,""processing_time"":21.32154393196106,""job_id"":""RmZjNgoK6xq7ey40ux2R1sxvYbp9ZDXI""}"
"2025-11-19 15:21:41",INFO,yoast_update,"Updated Yoast SEO meta fields: _yoast_wpseo_metadesc, _yoast_wpseo_focuskw",-,"{""fields"":[""_yoast_wpseo_metadesc"",""_yoast_wpseo_focuskw""]}"
"2025-11-19 15:21:41",INFO,yoast_receive,"Received Yoast data from hub (2 fields)",-,"{""yoast_fields"":[""_yoast_wpseo_metadesc"",""_yoast_wpseo_focuskw""],""has_metadesc"":true,""has_focuskw"":true}"
"2025-11-19 15:21:41",SUCCESS,set_featured_image,"Featured image set successfully",-,"{""attachment_id"":46576,""post_id"":46573}"
"2025-11-19 15:21:21",INFO,job_queued,"Update job queued for processing: ""Morning test 4""",-,"{""job_id"":""fJg7ZeROlQ1HjWodMJgTCgxcvmo2K5QJ"",""hub_id"":46665,""hub_url"":""https:\/\/hub2a.wpenginepowered.com"",""action"":""update""}"
"2025-11-19 15:21:19",INFO,job_queued,"Update job queued for processing: ""Morning test 4""",-,"{""job_id"":""RmZjNgoK6xq7ey40ux2R1sxvYbp9ZDXI"",""hub_id"":46665,""hub_url"":""https:\/\/hub2a.wpenginepowered.com"",""action"":""update""}"
"2025-11-19 15:21:19",INFO,find_author,"Found matching author by email: mike@manovermachine.com",-,"{""matched_user_id"":38,""display_name"":""manovermachine""}"
"2025-11-19 15:21:19",INFO,job_processing,"Job processing started: ""Morning test 4""",-,"{""job_id"":""RmZjNgoK6xq7ey40ux2R1sxvYbp9ZDXI"",""action"":""update"",""hub_id"":46665}"
"2025-11-19 15:21:11",INFO,hub_notified,"Successfully notified hub of completion",-,"{""hub_url"":""https:\/\/hub2a.wpenginepowered.com"",""job_id"":""ysvK6yLfoXx5AQIcNGsye6vwCOPZKXaP"",""spoke_post_id"":46573}"
"2025-11-19 15:21:11",SUCCESS,async_create,"Async create completed for ""Morning test 4"" (15.90s)",-,"{""hub_id"":46665,""local_id"":46573,""processing_time"":15.904464960098267,""job_id"":""ysvK6yLfoXx5AQIcNGsye6vwCOPZKXaP""}"
"2025-11-19 15:21:11",SUCCESS,yoast_sync,"Post published after Yoast meta set",-,"{""post_id"":46573,""status"":""publish""}"
"2025-11-19 15:20:57",SUCCESS,yoast_sync,"Post updated with Yoast meta as draft",-,"{""post_id"":46573}"
"2025-11-19 15:20:57",SUCCESS,set_featured_image,"Featured image set successfully",-,"{""attachment_id"":46575,""post_id"":46573}"
"2025-11-19 15:20:56",INFO,find_author,"Found matching author by email: mike@manovermachine.com",-,"{""matched_user_id"":38,""display_name"":""manovermachine""}"
"2025-11-19 15:20:56",INFO,yoast_sync,"Post created as draft, now updating with Yoast meta",-,"{""post_id"":46573,""intended_status"":""publish""}"
"2025-11-19 15:20:56",INFO,gallery_sync,"No gallery_images found in syndication data",-,[]
"2025-11-19 15:20:56",SUCCESS,set_featured_image,"Featured image set successfully",-,"{""attachment_id"":46574,""post_id"":46573}"
"2025-11-19 15:20:56",INFO,job_queued,"Update job queued for processing: ""Morning test 4""",-,"{""job_id"":""LNHEg36xalorn6qfmlNlJgviPBghBwdp"",""hub_id"":46665,""hub_url"":""https:\/\/hub2a.wpenginepowered.com"",""action"":""update""}"
"2025-11-19 15:20:55",INFO,receive_request,"Received syndication request from hub",-,"{""hub_url"":""https:\/\/hub2a.wpenginepowered.com"",""hub_id"":46665,""title"":""Morning test 4""}"
"2025-11-19 15:20:55",INFO,find_author,"Found matching author by email: mike@manovermachine.com",-,"{""matched_user_id"":38,""display_name"":""manovermachine""}"
"2025-11-19 15:20:55",INFO,debug_content,"DEBUG: Content received from hub: Morning test 4",-,"{""full_content_length"":14}"
"2025-11-19 15:20:55",INFO,job_processing,"Job processing started: ""Morning test 4""",-,"{""job_id"":""ysvK6yLfoXx5AQIcNGsye6vwCOPZKXaP"",""action"":""create"",""hub_id"":46665}"
