Date,Status,Action,Message,Connection,Details
"2025-11-19 14:23:25",INFO,job_processing,"Job processing started: ""Test 2""",-,"{""job_id"":""EPU3DuUasTKpQNMuyy8eOjEzIgH4GdbW"",""action"":""create"",""hub_id"":46662}"
"2025-11-19 14:23:25",INFO,race_prevented,"Race condition prevented: ""Test 2"" was created by simultaneous request",-,"{""hub_id"":46662,""local_id"":46562,""job_id"":""EPU3DuUasTKpQNMuyy8eOjEzIgH4GdbW""}"
"2025-11-19 14:23:25",SUCCESS,async_create,"Async create completed for ""Test 2"" (0.01s)",-,"{""hub_id"":46662,""local_id"":46562,""processing_time"":0.009525775909423828,""job_id"":""EPU3DuUasTKpQNMuyy8eOjEzIgH4GdbW""}"
"2025-11-19 14:23:25",INFO,hub_notified,"Successfully notified hub of completion",-,"{""hub_url"":""https:\/\/hub2a.wpenginepowered.com"",""job_id"":""EPU3DuUasTKpQNMuyy8eOjEzIgH4GdbW"",""spoke_post_id"":46562}"
"2025-11-19 14:23:24",SUCCESS,yoast_sync,"Post published after Yoast meta set",-,"{""post_id"":46562,""status"":""publish""}"
"2025-11-19 14:23:24",SUCCESS,async_create,"Async create completed for ""Test 2"" (2.34s)",-,"{""hub_id"":46662,""local_id"":46562,""processing_time"":2.3375539779663086,""job_id"":""3WtSdUhjWebD6LtnbSnA37JkG0YzH3Av""}"
"2025-11-19 14:23:24",INFO,hub_notified,"Successfully notified hub of completion",-,"{""hub_url"":""https:\/\/hub2a.wpenginepowered.com"",""job_id"":""3WtSdUhjWebD6LtnbSnA37JkG0YzH3Av"",""spoke_post_id"":46562}"
"2025-11-19 14:23:23",SUCCESS,set_featured_image,"Featured image set successfully",-,"{""attachment_id"":46563,""post_id"":46562}"
"2025-11-19 14:23:23",INFO,gallery_sync,"No gallery_images found in syndication data",-,[]
"2025-11-19 14:23:23",INFO,yoast_sync,"Post created as draft, now updating with Yoast meta",-,"{""post_id"":46562,""intended_status"":""publish""}"
"2025-11-19 14:23:23",INFO,find_author,"Found matching author by email: mike@manovermachine.com",-,"{""matched_user_id"":38,""display_name"":""manovermachine""}"
"2025-11-19 14:23:23",INFO,job_queued,"Update job queued for processing: ""Test 2""",-,"{""job_id"":""d285vXFt0zXVhwfg3r4SFtXkNQmiviZC"",""hub_id"":46662,""hub_url"":""https:\/\/hub2a.wpenginepowered.com"",""action"":""update""}"
"2025-11-19 14:23:23",SUCCESS,set_featured_image,"Featured image set successfully",-,"{""attachment_id"":46564,""post_id"":46562}"
"2025-11-19 14:23:23",SUCCESS,yoast_sync,"Post updated with Yoast meta as draft",-,"{""post_id"":46562}"
"2025-11-19 14:23:22",INFO,job_processing,"Job processing started: ""Test 2""",-,"{""job_id"":""3WtSdUhjWebD6LtnbSnA37JkG0YzH3Av"",""action"":""create"",""hub_id"":46662}"
"2025-11-19 14:23:22",INFO,debug_content,"DEBUG: Content received from hub: 8:21AM",-,"{""full_content_length"":6}"
"2025-11-19 14:23:22",INFO,find_author,"Found matching author by email: mike@manovermachine.com",-,"{""matched_user_id"":38,""display_name"":""manovermachine""}"
"2025-11-19 14:23:22",INFO,receive_request,"Received syndication request from hub",-,"{""hub_url"":""https:\/\/hub2a.wpenginepowered.com"",""hub_id"":46662,""title"":""Test 2""}"
"2025-11-19 14:23:22",INFO,job_queued,"Job queued for processing: ""Test 2""",-,"{""job_id"":""wrkd0fVMQOuSKXHHAViWqkFSE8wRYZ9w"",""hub_id"":46662,""hub_url"":""https:\/\/hub2a.wpenginepowered.com"",""action"":""create""}"
"2025-11-19 14:23:03",INFO,receive_request,"Received syndication request from hub",-,"{""hub_url"":""https:\/\/hub2a.wpenginepowered.com"",""hub_id"":46662,""title"":""Test 2""}"
"2025-11-19 14:23:03",INFO,job_queued,"Job queued for processing: ""Test 2""",-,"{""job_id"":""EPU3DuUasTKpQNMuyy8eOjEzIgH4GdbW"",""hub_id"":46662,""hub_url"":""https:\/\/hub2a.wpenginepowered.com"",""action"":""create""}"
"2025-11-19 14:23:02",INFO,receive_request,"Received syndication request from hub",-,"{""hub_url"":""https:\/\/hub2a.wpenginepowered.com"",""hub_id"":46662,""title"":""Test 2""}"
"2025-11-19 14:23:02",INFO,job_queued,"Job queued for processing: ""Test 2""",-,"{""job_id"":""3WtSdUhjWebD6LtnbSnA37JkG0YzH3Av"",""hub_id"":46662,""hub_url"":""https:\/\/hub2a.wpenginepowered.com"",""action"":""create""}"
"2025-11-18 17:41:10",INFO,hub_notified,"Successfully notified hub of completion",-,"{""hub_url"":""https:\/\/hub2a.wpenginepowered.com"",""job_id"":""KU8VDrY45h7m32DHblBfUJF1Pe522HiX"",""spoke_post_id"":46559}"
"2025-11-18 17:41:09",SUCCESS,set_featured_image,"Featured image set successfully",-,"{""attachment_id"":46561,""post_id"":46559}"
"2025-11-18 17:41:09",INFO,yoast_update,"Updated Yoast SEO meta fields: _yoast_wpseo_metadesc, _yoast_wpseo_focuskw",-,"{""fields"":[""_yoast_wpseo_metadesc"",""_yoast_wpseo_focuskw""]}"
"2025-11-18 17:41:09",SUCCESS,yoast_sync,"Post updated with Yoast meta as draft",-,"{""post_id"":46559}"
"2025-11-18 17:41:09",SUCCESS,yoast_sync,"Post published after Yoast meta set",-,"{""post_id"":46559,""status"":""publish""}"
"2025-11-18 17:41:09",SUCCESS,async_create,"Async create completed for ""video test"" (2.41s)",-,"{""hub_id"":46660,""local_id"":46559,""processing_time"":2.4129340648651123,""job_id"":""KU8VDrY45h7m32DHblBfUJF1Pe522HiX""}"
"2025-11-18 17:41:08",INFO,receive_request,"Received syndication request from hub",-,"{""hub_url"":""https:\/\/hub2a.wpenginepowered.com"",""hub_id"":46660,""title"":""video test""}"
"2025-11-18 17:41:08",INFO,job_queued,"Job queued for processing: ""video test""",-,"{""job_id"":""emGRr0fCweN4elbuC05cr5x3gYYJmhj7"",""hub_id"":46660,""hub_url"":""https:\/\/hub2a.wpenginepowered.com"",""action"":""create""}"
"2025-11-18 17:41:08",SUCCESS,set_featured_image,"Featured image set successfully",-,"{""attachment_id"":46560,""post_id"":46559}"
"2025-11-18 17:41:08",INFO,gallery_sync,"No gallery_images found in syndication data",-,[]
"2025-11-18 17:41:08",INFO,newspaper_update,"Updated Newspaper theme meta fields: td_post_video",-,"{""fields"":[""td_post_video""]}"
"2025-11-18 17:41:08",INFO,yoast_sync,"Post created as draft, now updating with Yoast meta",-,"{""post_id"":46559,""intended_status"":""publish""}"
"2025-11-18 17:41:08",INFO,find_author,"Found matching author by email: mike@manovermachine.com",-,"{""matched_user_id"":38,""display_name"":""manovermachine""}"
